Country or area, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011
Per 100 inhabitants, 1, 2, 5, 9, 15, 21, 26, 32

Chile

Number (thousands), 9261, 10570, 12451, 13955, 14797, 16450, 19852, 22400

Per 100 inhabitants, 57, 65, 76, 84, 88, 97, 116, 130

China20

Number (thousands), 334824, 393406, 461058, 547306, 641245, 747214, 859003, 986253

Per 100 inhabitants, 26, 30, 35, 41, 48, 56, 64, 73

"China,  HongKongSR"

Number (thousands), 8214, 8544, 9444, 10752, 11580, 12597, 13794, 14931

Per 100 inhabitants, 121, 125, 138, 156, 167, 180, 196, 210

"China,  McoSR"

Number (thousands), 432, 533, 636, 794, 933, 1037, 1122, 1353

Per 100 inhabitants, 92, 111, 129, 157, 180, 195, 206, 243

Colombia

Number (thousands), 10401, 21850, 29763, 33941, 41365, 42160, 44478, 46200

Per 100 inhabitants, 25, 51, 68, 77, 92, 92, 96, 98

Comoros

Number (thousands), 8, 16, 37, 62, 92, 123, 165, 216

Per 100 inhabitants, 1, 2, 6, 9, 13, 17, 22, 29

Congo

Number (thousands), 384, 558, 917, 1288, 1807, 2171, 3799, 3885

Per 100 inhabitants, 11, 16, 25, 35, 47, 51, 99, 94

Costa Rica

Number (thousands), 923, 1101, 1444, 1508, 1887, 1950, 3035, 4358

Per 100 inhabitants, 22, 26, 33, 34, 42, 42, 65, 92

Cte dIvoire

Number (thousands), 1674, 2349, 4065, 7468, 10449, 13184, 15599, 17416

Per 100 inhabitants, 9, 13, 22, 40, 55, 68, 79, 86

Croatia

Number (thousands), 2836, 3650, 4395, 5035, 4555, 4675, 4928, 5115

Per 100 inhabitants, 64, 82, 99, 114, 103, 106, 112, 116

Cuba

Number (thousands), 76, 136, 153, 198, 332, 621, 1003, 1315

Per 100 inhabitants, 1, 1, 1, 2, 3, 6, 9, 12

Cyprus

Number (thousands), 658, 783, 868, 988, 1017, 978, 1034, 1091

Per 100 inhabitants, 65, 76, 83, 93, 94, 90, 94, 98

Czech Republic

Number (thousands), 10783, 11776, 12406, 13229, 13780, 14258, 12775, 12810

Per 100 inhabitants, 106, 115, 121, 128, 133, 137, 122, 122

Dem. P. R. Korea

Number (thousands), 0, 0, 0, 0, 0, 69, 432, 1000

Per 100 inhabitants, 0, 0, 0, 0, 0, 0, 2, 4

Dem. Rep. of the Congo

Number (thousands), 1991, 2746, 4415, 6592, 9938, 9459, 11820, 15673

Per 100 inhabitants, 4, 5, 7, 11, 16, 15, 18, 23

Denmark

Number (thousands), 5167, 5449, 5828, 6308, 6557, 6834, 6981, 7047

Per 100 inhabitants, 96, 101, 107, 115, 119, 124, 126, 126

Djibouti

Number (thousands), 34, 44, 45, 70, 113, 129, 166, 193

Per 100 inhabitants, 4, 5, 5, 8, 13, 15, 19, 21

Dominica

Number (thousands), 42, 52, 72, 89, 91, 99, 106, 111

Per 100 inhabitants, 61, 75, 104, 130, 134, 145, 156, 164

Dominican Republic

Number (thousands), 2534, 3623, 4606, 5513, 7210, 8630, 8893, 8771

Per 100 inhabitants, 28, 39, 49, 58, 75, 88, 90, 87

Ecuador

Number (thousands), 3544, 6246, 8485, 9940, 11684, 13242, 14781, 15333

Per 100 inhabitants, 27, 47, 62, 72, 83, 93, 102, 105

Egypt

Number (thousands), 7643, 13630, 18001, 30094, 41287, 55352, 70661, 83425

Per 100 inhabitants, 10, 18, 24, 39, 53, 69, 87, 101

El Salvador

Number (thousands), 1833, 2412, 3852, 6137, 6951, 7566, 7700, 7837

Per 100 inhabitants, 30, 40, 63, 101, 113, 123, 124, 126

Equatorial Guinea

Number (thousands), 62, 97, 120, 150, 180, 200, 399, 426

Per 100 inhabitants, 10, 16, 19, 23, 27, 29, 57, 59

Eritrea

Number (thousands), 20, 40, 62, 84, 109, 141, 185, 242

Per 100 inhabitants, 0, 1, 1, 2, 2, 3, 4, 4

Estonia

Number (thousands), 1256, 1445, 1659, 1682, 1624, 1571, 1653, 1863

Per 100 inhabitants, 93, 107, 123, 125, 121, 117, 123, 139

Ethiopia

Number (thousands), 156, 411, 867, 1208, 1955, 4052, 6854, 14127

Per 100 inhabitants, 0, 1, 1, 2, 2, 5, 8, 17

Faeroe Islands

Number (thousands), 41, 42, 50, 52, 55, 57, 59, 

Per 100 inhabitants, 86, 87, 103, 107, 113, 117, 122, 

Falkland Is. (Malvinas)

Number (thousands), 0, 1, 2, 3, 3, 3, 3, 3

Per 100 inhabitants, 0, 26, 77, 100, 100, 108, 108, 111

Fiji

Number (thousands), 142, 205, 285, 530, 600, 640, 698, 727

Per 100 inhabitants, 17, 25, 34, 63, 71, 75, 81, 84

Finland

Number (thousands), 4988, 5270, 5670, 6080, 6830, 7700, 8390, 8940

Per 100 inhabitants, 95, 100, 108, 115, 128, 144, 156, 166

France

Number (thousands), 44544, 48088, 51662, 55358, 57972, 59600, 63200, 66300

Per 100 inhabitants, 74, 79, 84, 90, 93, 95, 101, 105

French Guiana

Number (thousands), 98, 0, 0, 0, 0, 218, 0, 

Per 100 inhabitants, 50, 0, 0, 0, 0, 97, 0, 

French Polynesia

Number (thousands), 96, 120, 152, 175, 187, 208, 216, 223

