Country or area, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011
Number (thousands), 4730, 5511, 6644, 8453, 9619, 9912, 9915, 10182

Per 100 inhabitants, 48, 68, 82, 104, 119, 122, 122, 125

Seychelles

Number (thousands), 54, 59, 70, 77, 93, 111, 118, 127

Per 100 inhabitants, 66, 70, 83, 91, 109, 129, 136, 146

Sierra Leone

Number (thousands), 0, 0, 0, 776, 1009, 1160, 2000, 2137

Per 100 inhabitants, 0, 0, 0, 14, 18, 20, 34, 36

Singapore

Number (thousands), 3991, 4385, 4789, 5924, 6415, 6880, 7385, 7755

Per 100 inhabitants, 96, 103, 109, 129, 134, 139, 145, 149

Slovakia

Number (thousands), 4275, 4540, 4893, 6068, 5520, 5498, 5925, 5983

Per 100 inhabitants, 79, 84, 90, 112, 101, 101, 108, 109

Slovenia

Number (thousands), 1849, 1759, 1820, 1928, 2055, 2100, 2122, 2169

Per 100 inhabitants, 93, 88, 91, 96, 102, 104, 105, 107

