Country, 1948, 1955, 1956, 1957, 1958
Angola, 15, 16, 16, 16, 16
Cameroun, 1, 3, 2, 3, 3
Cape Verde Islands, 2, 3, 3, 3, 3
Congo (Leopoldville), 7, 8, 8, 8, 14
Ethiopia, 0, 4, 4, 3, 1
Fr. Eq. Africa, 1, 2, 2, 2, 3
Fr. West Africa, 1, 5, 5, 6, 7
"Kenya,  Uganda,  Tanganyika", 3, 7, 7, 7, 7
Morocco A, 5, 16, 12, 12, 12
B, 0, 3, 3, 0, 0
Mozambique, 2, 4, 4, 4, 5
Nigeria, 0, 4, 4, 4, 8
Reunion, 1, 1, 1, 1, 1
"Rhodesia,  Nyasaland,  Fed.", 6, 0, 7, 8, 8
Sierra Leone, 0, 3, 3, 0, 0
Union of South Africa, 810, 11, 11, 11, 11
"UAR,  Egypt", 0, 7, 13, 29, 29
"Zanzibar,  Pemba", 0, 1, 2, 1, 3
Canada, 161, "3, 246", "3, 249", "3, 258", "8, 275"
Costa Rica, 0, 0, 38, 0, 0
Cuba, 0, 156, 160, 160, 0
Dominican Republic, 26, 30, 43, 46, 50
Guadeloupe, 2, 2, 2, 2, 2
Haiti, 8, 417, 0, 0, 0
Jamaica, 1, 0, 5, 7, 6
Martinique, 1, 1, 1, 1, 1
Mexico, "8, 212", "8, 227", 0, 0, 417
Neth. Antilles, 1, 5, 6, 6, 6
Panama, 0, 59, 0, 0, 64
United States, "2, 577", "3, 330", "3, 504", "3, 717", 0
Argentina, 0, 0, 64, 78, 78
Brazil, 178, "3, 593", 0, 0, 0
Chile, 0, 96, 0, 108, 119
Ecuador, 0, 54, 0, 0, 0
Falkland lslands, 1, 2, 2, 2, 2
Paraguay, 0, 515, 0, 0, 0
Peru, 0, 76, 94, 94, 95
Surinam, 1, 0, 1, 2, 4
Uruguay, 58, 77, 79, 63, 85
Venezuela, 0, 0, 0, 66, 71
Ceylon, 2, 0, 0, 2, 0
Cyprus, 0, 3, 3, 3, 4
Fed. of Malaya, 6, 6, 13, 7, 2
India, 23, 27, 29, 29, 0
Indonesia, 12, 26, 28, 31, 0
Israel, 7, "42, 955", 8, 0, 0
Japan, 90, 157, 287, 297, 0
Jordan, 0, "42, 768", 2, 2, 0
"Korea,  Rep. of", 0, 413, 0, 0, 0
Laos, 0, 0, 2, 2, 0
Macau, 1, "42, 768", 2, 2, 0
Neth. New Guinea, 0, "42, 768", 2, 2, 0
North Borneo, 1, "42, 737", 1, 2, 0
Pakistan, 4, 8, 9, 9, 0
Thailand, 1, "1, 617", 20, 0, 0
Turkey, 2, "42, 860", 5, 5, 0
"UAR,  Syria", 0, "42, 768", 2, 3, 0
"Viet-Nam,  Rep. of", 0, "42, 829", 4, 4, 0
Austria, 27, "1, 190", 83, 84, 0
Belgium, 13, "43, 081", 12, 0, 0
Czechoslovakia, 915, 0, 0, 0, 0
Denmark, 3, 13, 19, 21, 0
Finland, 13, 23, 28, 32, 0
France, 35, 42, 50, 51, 0
"Germany,  Fed. R.", 39, 262, 308, 312, 0
Greece, 91, 16, 18, 18, 0
Holy See, 1, "42, 736", 2, 2, 0
Iceland, 1, 4, 0, 0, 0
Ireland, 4, "42, 797", 3, 3, 0
Italy, 40, 178, 390, 538, 0
Luxembourg, 2, "42, 828", 3, 3, 0
Monaco, 1, 3, 3, 3, 0
Netherlands, 9, "42, 955", 9, 9, 0
Norway, 17, 29, 34, 37, 0
Portugal, 9, 51, 34, 33, 0
Spain, 0, 689, 184, 78, 0
Sweden, 33, 35, 35, 37, 0
Switzerland, 7, "43, 031", 27, 30, 0
United Kingdom, 43, 54, 62, 68, 0
Yugoslavia, 0, 0, 0, 0, 0
Australia, 139, "160, 160", 163, 163, 0
Fiji Islands, 1, "42, 798", 4, 4, 0
Gilbert and Ellice Islands, 0, "42, 768", 2, 2, 0
New Zealand, 31, 31, 34, 34, 0
Solomon Islands, 0, "42, 737", 1, 1, 0
