Number and per 100 inhabitants"

Country or area, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005
Senegal

Number, 27487, 87879, 250251, 301811, 553449, 782423, 1121314, 1730106

Per 100 inhabitants, 0, 1, 3, 3, 5, 8, 11, 15

Serbia and Montenegro

Number, 240000, 605697, 1303609, 1997809, 2750397, 3634613, 4729629, 5229000

Per 100 inhabitants, 2, 6, 12, 19, 34, 45, 58, 64

Seychelles+

Number, 5190, 16316, 25961, 36683, 44731, 49229, 54369, 57003

Per 100 inhabitants, 7, 21, 34, 47, 57, 62, 68, 71

Sierra Leone

Number, 0, 0, 11940, 26895, 67000, 113214, 0, 

Per 100 inhabitants, 0, 0, 0, 1, 1, 2, 0, 

Singapore

Number, 1094700, 1630800, 2747400, 2991600, 3313000, 3577000, 3997000, 4384600

Per 100 inhabitants, 28, 41, 68, 72, 80, 86, 96, 101

Slovakia

