Number and per 100 inhabitants"

Country or area, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005
Number, 964248, 2260687, 3401525, 5271565, 6445698, 7520280, 9566581, 10569572

Per 100 inhabitants, 7, 15, 22, 33, 41, 49, 62, 68

China

Number, 23863000, 43296000, 85260000, 144820000, 206005000, 269953000, 334824000, 393428000

Per 100 inhabitants, 2, 3, 7, 11, 16, 21, 26, 30

"China,  Hong Kong SAR"

Number, 3174369, 4275048, 5447346, 5776360, 6395725, 7349202, 8213959, 8693368

Per 100 inhabitants, 49, 65, 82, 86, 94, 108, 119, 123

"China,  Macao SAR"

Number, 82114, 118101, 141052, 194475, 276138, 364031, 432450, 532758

Per 100 inhabitants, 19, 27, 33, 45, 63, 81, 93, 116

Colombia

Number, 1800229, 1966535, 2256801, 3265261, 4596594, 6186206, 10400578, 21849993

Per 100 inhabitants, 4, 5, 5, 8, 11, 14, 23, 48

Comoros

Number, 0, 0, 0, 0, 0, 2000, 9375, 16065

Per 100 inhabitants, 0, 0, 0, 0, 0, 0, 1, 2

Congo

Number, 3390, 5000, 70000, 150000, 221800, 330000, 383653, 490000

Per 100 inhabitants, 0, 0, 2, 5, 7, 9, 10, 12

Cook lslands

Number, 285, 506, 552, 942, 1499, 3384, 3650, 4004

Costa Rica

Number, 108770, 138178, 211614, 326944, 502478, 778299, 923084, 1101035

Per 100 inhabitants, 3, 4, 6, 8, 13, 19, 22, 25

Cte d'Ivoire

Number, 91212, 257134, 472952, 728545, 1027058, 1280696, 1674332, 2349439

Per 100 inhabitants, 1, 2, 3, 4, 6, 8, 10, 13

Croatia

Number, 182500, 295000, 1033000, 1755000, 2340000, 2537300, 2835500, 2983900

Per 100 inhabitants, 4, 7, 23, 40, 54, 58, 64, 80

Cuba

Number, 4056, 5136, 6536, 8579, 17851, 35356, 75797, 135534

Per 100 inhabitants, 0, 0, 0, 0, 0, 0, 1, 1

Cyprus

Number, 116429, 151649, 218324, 314355, 417933, 551752, 640515, 718842

Per 100 inhabitants, 18, 23, 32, 46, 58, 77, 79, 86

Czech Republic

Number, 965476, 1944553, 4346009, 6947151, 8610177, 9708683, 10782567, 11775878

Per 100 inhabitants, 9, 19, 42, 68, 84, 95, 106, 115

Dem. Rep. of the Congo

Number, 10000, 12000, 15000, 150000, 560000, 973252, 1990722, 2746094

Per 100 inhabitants, 0, 0, 0, 0, 1, 2, 4, 5

Denmark

Number, 1931101, 2628585, 3363552, 3960165, 4477752, 4767277, 5167998, 5469345

