Country or area, Number of titles, Total average daily circulation or copies printed (thousands), Circulation or copies printed per 1000 inhabitants, 1997, 1998, 1999, 2000, 1997, 1998, 1999, 2000, 1997, 1998, 1999, 2000
Africa, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Algeria, 18, 24, 0, 0, 761, 796, 0, 0, 26.1, 26.9, 0, 0
Angola, 5, 5, 0, 0, 129, 133, 0, 0, 10, 10.1, 0, 0
Benin, 0, 0, 13, 0, 0, 0, 33, 0, 0, 0, 4.7, 0
Botswana, 1, 1, 0, 0, 41, 41, 0, 0, 24.1, 24, 0, 0
Burkina Faso, 4, 4, 0, 0, 14, 15, 0, 0, 1.4, 1.4, 0, 0
Burundi, 1, 1, 0, 0, 15, 15, 0, 0, 2.4, 2.4, 0, 0
Cameroon, 2, 2, 0, 0, 92, 92, 0, 0, 6.6, 6.4, 0, 0
Central African Rep., 3, 3, 0, 0, 6, 6, 0, 0, 1.7, 1.7, 0, 0
Chad, 2, 2, 0, 0, 2, 2, 0, 0, 0.2, 0.2, 0, 0
Congo Congo, 6, 6, 0, 0, 21, 21, 0, 0, 6.6, 6.4, 0, 0
Cte d'Ivoire, 12, 12, 0, 0, 235, 238, 0, 0, 15.1, 14.9, 0, 0
Dem. Rep. of the Congo, 9, 9, 0, 0, 129, 129, 0, 0, 2.7, 2.7, 0, 0
Egypt, 14, 15, 16, 0, 2100, 2332, 2080, 0, 33, 36, 31.5, 0
Equatorial Guinea, 1, 1, 0, 0, 2, 2, 0, 0, 4.8, 4.7, 0, 0
Ethiopia, 2, 2, 0, 0, 23, 23, 0, 0, 0.4, 0.4, 0, 0
Gabon Gabon, 2, 2, 0, 0, 34, 35, 0, 0, 28.6, 28.6, 0, 0
Gambia, 1, 1, 0, 0, 2, 2, 0, 0, 1.7, 1.7, 0, 0
Ghana, 4, 4, 0, 0, 256, 260, 0, 0, 13.7, 13.7, 0, 0
Guinea-Bissau, 1, 1, 0, 0, 6, 6, 0, 0, 4.8, 4.8, 0, 0
Kenya, 4, 4, 4, 0, 265, 268, 250, 0, 9.2, 9.1, 8.3, 0
Lesotho, 2, 2, 0, 0, 16, 16, 0, 0, 8.9, 9, 0, 0
Liberia, 6, 6, 0, 0, 36, 37, 0, 0, 14.5, 13.5, 0, 0
Libyan Arab Jamah., 4, 4, 0, 0, 71, 71, 0, 0, 14.2, 13.9, 0, 0
Madagascar, 5, 5, 0, 0, 68, 68, 0, 0, 4.6, 4.5, 0, 0
Malawi, 5, 5, 0, 0, 26, 26, 0, 0, 2.4, 2.4, 0, 0
Mali, 3, 3, 0, 0, 12, 13, 0, 0, 1.2, 1.1, 0, 0
Mauritius, 8, 6, 6, 5, 88, 82, 116, 138, 76.5, 70.6, 98.8, 116.4
Morocco, 21, 22, 22, 23, 657, 715, 728, 846, 23.5, 25.2, 25.3, 28.9
Mozambique, 12, 12, 0, 0, 43, 43, 0, 0, 2.6, 2.5, 0, 0
Namibia, 4, 4, 0, 0, 13, 31, 0, 0, 7.2, 17.2, 0, 0
Niger, 1, 1, 0, 0, 2, 2, 0, 0, 0.2, 0.2, 0, 0
Nigeria, 25, 25, 0, 0, 2750, 2760, 0, 0, 25.1, 24.6, 0, 0
Rwanda, 1, 1, 0, 0, 1, 1, 0, 0, 0.1, 0.1, 0, 0
Senegal, 4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Seychelles, 4, 5, 0, 0, 46, 46, 0, 0, 598, 602.2, 0, 0
South Africa, 17, 17, 18, 16, 1204, 1149, 0, 1118, 27.6, 25.9, 0, 24.5
Togo, 0, 0, 1, 1, 0, 0, 10, 10, 0, 0, 1.9, 1.9
Tunisia, 0, 0, 0, 7, 0, 0, 0, 180, 0, 0, 0, 18.8
Uganda, 0, 4, 4, 3, 0, 0, 0, 63, 0, 0, 0, 2.6
Zambia, 0, 0, 0, 0, 0, 0, 0, 228, 0, 0, 0, 21.3
"America,  North ", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Bermuda, 0, 0, 1, 1, 0, 0, 15, 15, 0, 0, 239.7, 238.6
Canada Canada, 105, 105, 106, 104, 4979, 5005, 5166, 5167, 166.8, 166.1, 169.9, 168.4
Costa Rica, 6, 6, 6, 6, 0, 265, 290, 275, 0, 70.7, 75.5, 70
Cuba, 0, 0, 2, 2, 0, 0, 565, 600, 0, 0, 51, 53.9
Dominican Republic, 10, 10, 10, 9, 126, 126, 230, 230, 16, 15.7, 28.2, 27.8
El Salvador, 4, 4, 0, 0, 219, 171, 0, 0, 37, 28.3, 0, 0
Mexico, 0, 0, 300, 311, 0, 0, 9332, 9251, 0, 0, 94.6, 92.4
United States, 1509, 1489, 14832, 1476, 56728, 56182, 55979, 559452, 206, 201.8, 199, 196.9
"America,  South ", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Argentina, 101, 100, 102, 106, 2335, 2160, 1944, 1500, 65.4, 59.8, 53.3, 40.7
Bolivia, 27, 29, 0, 0, 863, 788, 0, 0, 110.4, 98.8, 0, 0
Brazil, 400, 372, 465, 465, 6892, 7163, 7245, 7883, 41.4, 42.4, 42.3, 45.3
Chile, 0, 0, 51, 53, 0, 0, 0, 0, 0, 0, 0, 0
Colombia, 25, 23, 24, 0, 1151, 1072, 1093, 0, 28.8, 26.3, 26.4, 0
Ecuador, 11, 11, 36, 36, 569, 529, 1220, 1220, 48.3, 44.3, 100.6, 99.1
Guyana, 0, 0, 2, 2, 0, 0, 57, 57, 0, 0, 76.5, 76.3
Peru, 0, 57, 0, 0, 0, 570, 0, 0, 0, 22.7, 0, 0
Suriname, 2, 2, 0, 0, 29, 28, 0, 0, 67.5, 65.7, 0, 0
Uruguay, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0
Asia Asie, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Armenia, 8, 7, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0
Azerbaijan, 0, 14, 15, 0, 0, 95, 80, 0, 0, 11.8, 9.9, 0
China, 694, 740, 805, 909, 43948, 62989, 70090, 75603, 35.4, 50.3, 55.4, 59.3
"China,  Hong Kong SAR ", 0, 43, 48, 0, 0, 1583, 1528, 1481, 0, 244.9, 233.2, 223.1
"China,  Macao SAR", 0, 0, 10, 10, 0, 0, 158, 167, 0, 0, 359.1, 377.2
Cyprus, 8, 7, 8, 8, 53, 79, 86, 87, 70.4, 103.3, 110.9, 110.6
Georgia, 0, 0, 30, 35, 0, 0, 43, 26, 0, 0, 9.1, 5.4
India, 5044, 5221, 0, 0, 46452, 59023, 0, 0, 47.9, 59.8, 0, 0
Indonesia, 81, 172, 225, 396, 4975, 4713, 4782, 0, 24.7, 23.1, 23.2, 0
Iran (Islamic Rep. of), 0, 0, 105, 112, 0, 0, 0, 0, 0, 0, 0, 0
Japan, 109, 108, 109, 110, 72699, 72410, 72218, 71896, 576.3, 572.6, 569.7, 566
Jordan, 8, 8, 5, 5, 350, 352, 0, 0, 76.2, 74.6, 0, 0
"Korea,  Republic of", 193, 108, 112, 116, 0, 0, 0, 0, 0, 0, 0, 0
Kyrgyzstan, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0
Lebanon, 0, 13, 14, 13, 0, 213, 225, 220, 0, 64, 66.9, 64.7
Malaysia, 33, 33, 0, 31, 2257, 2487, 0, 2191, 105.3, 113.2, 0, 95.3
Mongolia, 4, 5, 5, 5, 59, 50, 40, 44, 24.2, 20.4, 16.2, 17.6
Myanmar, 4, 4, 0, 0, 420, 400, 0, 0, 9.2, 8.6, 0, 0
Occupied Palestinian Terr., 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0
Oman, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Pakistan, 359, 303, 352, 306, 3915, 0, 5559, 5600, 29.5, 0, 39.9, 39.3
Philippines, 42, 0, 0, 0, 4712, 0, 0, 0, 66, 0, 0, 0
Singapore, 8, 8, 8, 9, 1027, 1062, 1078, 1096, 277.3, 278.2, 274.8, 272.8
Sri Lanka, 9, 9, 0, 12, 528, 524, 0, 536, 27.4, 26.9, 0, 27
Thailand, 0, 34, 0, 0, 4392, 11753, 0, 0, 73.6, 195.1, 0, 0
Timor-Leste, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0
Turkey, 980, 960, 560, 542, 0, 0, 0, 0, 0, 0, 0, 0
Turkmenistan, 0, 0, 2, 2, 0, 0, 26, 32, 0, 0, 6, 7
Viet Nam, 0, 0, 5, 0, 0, 0, 450, 0, 0, 0, 5.8, 0
Europe, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Andorra, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0
Austria, 17, 17, 17, 16, 2500, 2669, 2896, 2503, 309.1, 329.9, 358, 309.2
Belarus, 19, 20, 0, 0, 1437, 1559, 0, 0, 141.2, 153.9, 0, 0
Belgium, 30, 29, 28, 29, 1605, 1588, 1564, 1568, 157.2, 155.1, 152.2, 152.2
Bulgaria, 33, 33, 36, 43, 1267, 1112, 1350, 1400, 155.2, 137.2, 167.7, 175.1
Croatia, 11, 10, 11, 12, 503, 510, 536, 595, 108.9, 111.5, 118.3, 132.1
Czech Republic, 99, 103, 104, 103, 0, 0, 0, 0, 0, 0, 0, 0
Denmark, 38, 36, 33, 33, 1617, 1613, 1558, 1507, 306.7, 304.6, 293, 282.2
Estonia, 17, 16, 17, 13, 260, 254, 273, 262, 185, 182.7, 198.1, 191.7
Finland, 56, 56, 56, 55, 2323, 2343, 2331, 2304, 452, 454.8, 451.4, 445.1
France, 84, 86, 87, 84, 8506, 8268, 8447, 8424, 145, 140.5, 143, 142.1
Germany, 402, 391, 387, 382, 25038, 25016, 24565, 23946, 305, 304.4, 298.6, 290.8
Gibraltar, 0, 1, 2, 0, 0, 6, 4, 0, 0, 217.8, 144.9, 0
Greece, 198, 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Hungary, 43, 40, 39, 40, 1742, 1700, 1659, 1625, 169.2, 165.5, 161.9, 158.9
Iceland, 4, 3, 3, 3, 100, 94, 93, 91, 366.4, 340.9, 333.9, 323.5
Ireland, 6, 6, 6, 6, 552, 557, 567, 564, 150.4, 150.3, 151.2, 148.4
Italy, 0, 92, 88, 89, 5920, 5881, 5914, 6273, 103, 102.2, 102.6, 108.7
Latvia, 24, 21, 27, 26, 284, 260, 354, 327, 116.8, 107.9, 148.1, 137.8
Lithuania, 23, 23, 29, 22, 113, 123, 126, 108, 31.7, 34.6, 35.7, 30.9
Luxembourg, 5, 5, 5, 5, 121, 124, 124, 120, 290.1, 293, 288.9, 275.7
Malta, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Netherlands, 38, 35, 35, 35, 4753, 4522, 4482, 4443, 303.9, 287.5, 283.4, 279.5
Norway, 83, 81, 82, 81, 2603, 2592, 2591, 2545, 589.4, 583, 579, 565.3
Poland, 66, 52, 46, 42, 0, 4168, 3870, 3928, 0, 107.8, 100.1, 101.6
Portugal, 31, 29, 28, 28, 316, 673, 686, 1026, 31.3, 66.4, 67.4, 100.3
Republic of Moldova, 5, 6, 6, 6, 480, 660, 0, 0, 111.3, 153.4, 0, 0
Romania, 74, 95, 139, 145, 0, 0, 0, 0, 0, 0, 0, 0
