Country, Code, 1948, 1953, 1958, 1959
Algeria, L, 157.0, 259.0, 444.0, 504.0
Angola, L, 18.0, 16.0, 38.0, 0
Basutoland, L, 20.4, 0.5, 0.9, 1.0
Bechuanaland, R, 20.3, 0.4, 1.6, 1.9
Congo (Leopoldville), L, 6.0, 12.0, 29.0, 35.0
Cameroun, R, 0, 1.2, 311.0, 0
Cape Verde Islands, L, 0, 0.7, 3.1, 1.6
Ethiopia, R, 13.0, 14.0, 50.0, 0
Fr. Eq. Africa, R, 0, 10.0, 0, 0
Fr. Somaliland, R, 20.2, 0.7, 4.4, 5.0
Fr. W. Africa, R, 0, 50.0, 0, 0
Gambia, R, 0, 0.6, 31.0, 0
Ghana, L, 8.0, 24.0, 101.0, 109.0
Kenya, L, 10.0, 17.0, 32.0, 29.0
Liberia, R, 22.0, 73.0, 10.0, 0
Libya, L, 0, 5.0, 825.0, 0
Madagascar, R, 0, 515.0, 50.0, 0
Mauritius, L, 5.0, 16.0, 29.0, 34.0
Morocco, L, 86.0, 244.0, 497.0, 509.0
Mozambique, L, 6.0, 12.0, 27.0, 0
Nigeria, R, 9.0, 37.0, 73.0, 0
Port. Guinea, L, 20.6, 0.8, 1.3, 1.4
Reunion, L, 22.0, 4.0, 11.0, 12.0
"Rhodesia,  Nyasaland,  Fed. of", L, 30.0, 0, 45.0, 61.0
Ruanda-Urundi, R, 0, 71.0, 1.5, 0
Seychelles, L, 0.1, 0.1, 0.4, 0.4
Sierra Leone, L, 2.0, 4.0, 6.0, 7.0
Somalia, R, 21.3, 1.7, 3.1, 3.5
South West Africa, L, 28.0, 11.0, 19.0, 0
Sudan, L, 13.0, 6.0, 37.0, 0
Swaziland, L, 20.4, 0.8, 1.5, 1.7
Tanganyika, R, 1.0, 1.0, 21.0, 0
Togo, R, 0, 0.5, 33.0, 0
Tunisia, L, 43.0, 86.0, 101.0, 0
Uganda, R, 21.0, 8.0, 70.0, 90.0
U. of S. Africa, L, 497.0, 653.0, 919.0, 0
"UAR,  Egypt", L, "1, 238.0", 32.0, "3, 792.0", 0
"Zanzibar,  Pemba", R, 0, 3.0, 5.0, 4.0
Antigua, L, 110.4, 5 0.8, 1.0, 0
Bahama Islands, L, 12.0, 4.0, 14.0, 16.0
Barbados, L, 4.0, 13.0, 28.0, 0
Bermuda, R, 5.0, 14.0, 17.0, 18.0
Br. Honduras, L, 11.0, 72.0, 2.0, 3.0
Canada, R, "1, 944.0", "4, 014.0", "39, 660.0", 0
Costa Rica, R, 223.0, 750.0, 75.0, 0
Cuba, R, "1, 575.0", 900.0, 0, "1, 000.0"
Dominican Republic, R, 30.0, 55.0, 80.0, 98.0
El Salvador, R, 0, 721.0, 40.0, 0
Guadeloupe, L, 21.0, 73.0, 6.0, 6.0
Guatemala, L, 220.0, 736.0, 0, 0
Haiti, L, 4.0, 714.0, 20.0, 0
Honduras, L, 20.0, 726.0, 332.0, 0
Jamaica, R, 223.0, 44.0, 137.0, 147.0
Martinique, L, 23.0, 54.0, 17.0, 18.0
Mexico, R, 700.0, "1, 500.0", "2, 800.0", 0
Neth. Antilles, R, 234.0, 35.0, 39.0, 39.0
Nicaragua, R, 0, 20.0, 35.0, 0
Panama, R, 281.0, 95.0, 130.0, 0
Puerto Rico, R, 0, "12, 150.0", "8, 270.0", 0
St. Pierre and Miquelon, L, 20.6, 1.0, 1.0, 1.0
Trinidad, L, 20.0, 36.0, 59.0, 0
United States, R, "74, 000.0", "114, 000.0", "161, 000.0", "168, 500.0"
Windward Islands, R, 0, 3.0, 65.0, 0
Argentina, R, "22, 200.0", "2, 582.0", "3, 222.0", "3, 350.0"
Bolivia, R, "1, 150.0", 0, "4, 200.0", 0
Brazil, R, "22, 500.0", "73, 500.0", "4, 000.0", 0
British Guiana, L, 6.0, 15.0, 34.0, 0
Chile, R, "1, 550.0", "7, 650.0", 700.0, 0
Colombia, R, "2, 500.0", 0, "4, 800.0", 0
Ecuador, R, 30.0, 0, 120.0, 0
Falkland Islands, L, 0.6, 0.6, 0.8, 0.8
Fr. Guiana, L, 0, 0.1, 0.7, 0.8
Paraguay, R, 170.0, 80.0, 105.0, 0
Peru, R, "2, 500.0", 0, "8, 600.0", 0
Surinam, R, 15.0, 0, 12.0, 0
Uruguay, R, 300.0, 0, "3, 700.0", 0
Venezuela, R, 150.0, "5, 218.0", "3, 750.0", 0
Aden, R, 10.7, 5.0, 17.0, 20.0
Afghanistan, R, 28.0, 0, 312.0, 0
Brunei, L, 8.0, 1.0, 3.0, 6.0
Burma, L, 0, 0, 0, 0
Cambodia, R, 0, 3.0, 11.0, 19.0
Ceylon, L, 23.0, 77.0, 230.0, 258.0
China (Taiwan), L, 214.0, 77.0, 339.0, 0
Cyprus, L, 8.0, 33.0, 85.0, 85.0
Fed. of Malaya, L, 22.0, 122.0, 185.0, 221.0
Hong Kong, L, 30.0, 87.0, 124.0, 146.0
India, L, 282.0, 838.0, "1, 560.0", "1, 604.0"
Indonesia, L, "1, 125.0", "7, 326.0", 631.0, 0
Iran, R, 102.0, 0, "4, 500.0", 0
Iraq, L, 130.0, 766.0, 100.0, 0
Israel, L, 127.0, 219.0, 361.0, 389.0
Japan, L, "7, 593.0", "11, 449.0", "14, 610.0", 0
Jordan, L, 22.0, 12.0, 47.0, 60.0
"Korea,  Rep. of", R, 88.0, 186.0, 351.0, 380.0
Laos, L, 40.1, 1.0, 815.0, 0
Lebanon, L, 31.0, 45.0, 80.0, 0
Macau, L, 25.0, 5.0, 5.0, 0
North Borneo, L, 21.0, 3.0, 9.0, 13.0
Pakistan, L, 62.0, 98.0, 227.0, 0
Philippines, L, 779.0, "7, 217.0", "3, 305.0", 0
Port. India, L, 0, 1.0, 5.0, 6.0
Sarawak, R, 10.8, 4.0, 26.0, 26.0
Saudi Arabia, R, 210.0, 0, 21.0, 0
Singapore, L, 241.0, 73.0, 106.0, 136.0
Thailand, L, 0, 0, 95.0, 0
Turkey, L, 241.0, 819.0, "1, 111.0", "1, 196.0"
"UAR,  Syria", L, 140.0, "6, 134.0", 231.0, 260.0
"Viet-Nam,  Rep. of", L, 216.0, 40.0, 87.0, 0
Albania, L, 40.0, 12.0, 33.0, 43.0
Andorra, R, 0, 62.0, 2.0, 0
Austria, L, "1, 106.0", "1, 624.0", "1, 874.0", "1, 929.0"
Belgium, L, "1, 058.0", "1, 863.0", "2, 409.0", "2, 477.0"
Bulgaria, R, 210.0, 445.0, "1, 059.0", "1, 246.0"
Czechoslovakia, L, "2, 108.0", "2, 676.0", "3, 317.0", "3, 428.0"
Denmark, L, "1, 057.0", "1, 299.0", "1, 449.0", "1, 489.0"
Finland, L, 630.0, 905.0, "1, 140.0", "1, 181.0"
France, L, "6, 104.0", "8, 369.0", "10, 646.0", "10, 793.0"
"Germany,  East", R, "2, 817.0", "4, 511.0", "5, 378.0", "5, 489.0"
"Germany,  Fed. Rep. of", L, "7, 299.0", "12, 192.0", "15, 263.0", "15, 900.0"
Gibraltar, L, 2.0, 4.0, 5.0, 5.0
Greece, L, M30, 306.0, 697.0, 743.0
Hungary, L, 475.0, "1, 080.0", "1, 963.0", "2, 102.0"
Iceland, L, 1Z5, 37.0, 47.0, 47.0
Ireland, L, 261.0, 406.0, 485.0, 492.0
Italy, L, "2, 205.0", "4, 916.0", "6, 122.0", "6, 014.0"
Liechtenstein, L, 22.0, 3.0, 3.0, 0
Luxembourg, L, 49.0, 72.0, 91.0, 95.0
Malta, L, 31.0, 45.0, 63.0, 67.0
Monaco, R, 23.0, 0, 5.0, 0
Netherlands, L, "1, 615.0", "2, 332.0", "2, 998.0", "3, 077.0"
Norway, L, 654.0, 895.0, 997.0, 997.0
Poland, L, 891.0, "2, 211.0", "4, 465.0", "4, 931.0"
Portugal, L, 179.0, 393.0, 689.0, 769.0
Romania, L, 258.0, 0, "1, 655.0", "1, 841.0"
San Marino, L, 21.0, 1.0, 1.0, 0
Spain, L, 657.0, "1, 313.0", "2, 500.0", 0
Sweden, L, "2, 025.0", "2, 317.0", "2, 651.0", 0
Switzerland, L, 866.0, "1, 158.0", "1, 350.0", "1, 388.0"
United Kingdom, L, "11, 460.0", "13, 268.0", "14, 753.0", "14, 945.0"
Yugoslavia, L, 252.0, 422.0, "1, 088.0", "1, 310.0"
Australia, L, "11, 986.0", "1, 968.0", "2, 211.0", "2, 247.0"
Br. Solomon Islands, L, 0.1, 0.1, 0.4, 0.5
Fiji Islands, L, 2.0, 3.0, 20.0, 22.0
Fr. Polynesia, R, 0, 8.0, 14.0, 16.0
New Caledonia, R, 0, 2.0, 7.0, 8.0
New Hebrides, L, 0.2, 0.2, 30.2, 0
New Zealand, L, 426.0, 495.0, 556.0, 570.0
Norfolk Islands, L, 20.1, 0.2, 0.2, 0.2
Tonga, R, 10.1, 0.1, 0.3, 0.3
Western Samoa, L, 20.5, 1.2, 2.6, 3.0
USSR, R, 2U 452, "17, 577.00", "36, 667.00", "40, 000.00"
