Country or area, 2007, 2008, 2009, 2010, 2011, 2012, 2013
Number (thousands), 35, 36, 36, 37, 37, 37, 37

Per 100 inhabitants, 68.1, 67.6, 66.6, 67.3, 65.8, 65, 62.8

Central African Rep.

Number (thousands), 0, 0, 4, 1, 1, 1, 1

Per 100 inhabitants, 0, 0, 0.1, 0, 0, 0, 0

Chad

Number (thousands), 0, 0, 0, 0, 0, 0, 

Per 100 inhabitants, 32, 45, 58, 51, 32, 28, 31

Chile

Number (thousands), 3460, 3530, 3564, 3458, 3366, 3281, 3203

Per 100 inhabitants, 20.8, 21, 21, 20.2, 19.5, 18.8, 18.2

China

Number (thousands), 365637, 340359, 313732, 294383, 285115, 278153, 266985

Per 100 inhabitants, 27.4, 25.4, 23.2, 21.7, 20.8, 20.2, 19.3

"China,   Hong Kong SAR"

Number (thousands), 4209, 4183, 4277, 4362, 4342, 4382, 4538

Per 100 inhabitants, 60.7, 60, 61, 61.9, 61.2, 61.3, 63

"China,   Macao SAR"

Number (thousands), 178, 176, 170, 168, 166, 163, 158

Per 100 inhabitants, 36.1, 34.7, 32.7, 31.5, 30.4, 29.2, 28

Colombia

Number (thousands), 7924, 7929, 7474, 7186, 7127, 7134, 7141

Per 100 inhabitants, 17.8, 17.6, 16.3, 15.5, 15.1, 15, 14.8

Comoros

Number (thousands), 26, 29, 31, 21, 23, 24, 23

Per 100 inhabitants, 4.1, 4.4, 4.6, 3.1, 3.3, 3.3, 3.1

Congo

Number (thousands), 13, 9, 12, 13, 14, 15, 16

Per 100 inhabitants, 0.4, 0.2, 0.3, 0.3, 0.3, 0.3, 0.4

Costa Rica

Number (thousands), 1437, 1438, 1500, 1060, 1032, 996, 968

Per 100 inhabitants, 32.2, 31.7, 32.6, 22.7, 21.8, 20.7, 19.9

Cte d'Ivoire

Number (thousands), 248, 357, 282, 283, 276, 276, 272

Per 100 inhabitants, 1.4, 2, 1.5, 1.5, 1.4, 1.4, 1.3

Croatia

Number (thousands), 1847, 1878, 1859, 1866, 1761, 1633, 1577

Per 100 inhabitants, 42.3, 43.1, 42.7, 43, 40.7, 37.9, 36.8

Cuba

Number (thousands), 1055, 1088, 1120, 1164, 1193, 1217, 1237

Per 100 inhabitants, 9.3, 9.6, 9.9, 10.3, 10.6, 10.8, 11

Cyprus

Number (thousands), 409, 413, 415, 413, 405, 373, 349

Per 100 inhabitants, 38.5, 38.4, 38, 37.4, 36.3, 33.1, 30.6

Czech Republic

Number (thousands), 2403, 2478, 2527, 2367, 2204, 2117, 1997

Per 100 inhabitants, 23.2, 23.8, 24.1, 22.4, 20.8, 19.9, 18.7

Dem. Rep. of the Congo

Number (thousands), 4, 37, 42, 42, 57, 60, 

Per 100 inhabitants, 0, 0.1, 0.1, 0.1, 0.1, 0.1, 

Dem. P. R. Korea

Number (thousands), 1180, 1180, 1180, 1180, 1180, 1180, 1180

Per 100 inhabitants, 4.9, 4.9, 4.8, 4.8, 4.8, 4.8, 4.7

Denmark

Number (thousands), 2825, 2975, 2774, 2614, 2481, 2299, 2104

Per 100 inhabitants, 51.7, 54.1, 50.2, 47.1, 44.5, 41.1, 37.5

Djibouti

Number (thousands), 14, 15, 17, 18, 18, 20, 21

Per 100 inhabitants, 1.8, 1.8, 2.1, 2.2, 2.2, 2.3, 2.4

Dominica

Number (thousands), 17, 18, 17, 15, 15, 16, 17

Per 100 inhabitants, 24.7, 24.7, 23.2, 21.8, 21, 22.7, 23.8

Dominican Republic

Number (thousands), 906, 986, 965, 1013, 1100, 1129, 1171

Per 100 inhabitants, 9.4, 10.1, 9.8, 10.1, 10.8, 11, 11.3

Ecuador

Number (thousands), 1823, 1906, 2013, 2086, 2211, 2309, 2395

Per 100 inhabitants, 12.8, 13.1, 13.6, 13.9, 14.5, 14.9, 15.2

Egypt

Number (thousands), 11229, 11853, 10313, 9618, 8714, 8557, 6821

Per 100 inhabitants, 15.1, 15.7, 13.4, 12.3, 11, 10.6, 8.3

El Salvador

Number (thousands), 1080, 1077, 1099, 1001, 1030, 1059, 950

Per 100 inhabitants, 17.6, 17.5, 17.8, 16.1, 16.5, 16.8, 15

Equatorial Guinea

Number (thousands), 10, 10, 10, 14, 15, 15, 15

Per 100 inhabitants, 1.6, 1.5, 1.5, 1.9, 2, 2, 2

Eritrea

Number (thousands), 37, 40, 48, 54, 58, 60, 62

Per 100 inhabitants, 0.7, 0.8, 0.9, 0.9, 1, 1, 1

Estonia

Number (thousands), 495, 498, 493, 482, 472, 448, 426

Per 100 inhabitants, 37.7, 38.1, 37.8, 37.1, 36.5, 34.7, 33.1

Ethiopia

Number (thousands), 880, 897, 915, 909, 829, 798, 761

Per 100 inhabitants, 1.1, 1.1, 1.1, 1, 0.9, 0.9, 0.8

Faeroe Islands

Number (thousands), 22, 22, 21, 20, 20, 19, 18

Per 100 inhabitants, 45.3, 44, 42.2, 40.7, 39.5, 37.7, 36.4

Falkland Is. (Malvinas)

Number (thousands), 2, 2, 2, 2, 2, 2, 2

Per 100 inhabitants, 78.9, 66.7, 65.7, 65.9, 66.4, 65.3, 67.1

Fiji

Number (thousands), 122, 129, 137, 130, 130, 88, 75

Per 100 inhabitants, 14.6, 15.3, 16.1, 15.1, 15, 10.1, 8.5

Finland

Number (thousands), 1740, 1650, 1430, 1250, 1080, 890, 752

Per 100 inhabitants, 32.9, 31, 26.8, 23.3, 20, 16.5, 13.9

France

Number (thousands), 34800, 35100, #40934, 40622, 40370, 39674, 39079

Per 100 inhabitants, 55.9, 56.1, #65.1, 64.2, 63.5, 62.1, 60.8

French Polynesia

Number (thousands), 54, 55, 54, 55, 55, 55, 55

Per 100 inhabitants, 20.8, 20.8, 20.5, 20.5, 20.3, 20.1, 19.9

Gabon

Number (thousands), 26, 33, 36, 30, 22, 23, 19

Per 100 inhabitants, 1.8, 2.2, 2.4, 2, 1.4, 1.4, 1.2

Gambia

Number (thousands), 49, 49, 48, 49, 50, 64, 64

Per 100 inhabitants, 3.2, 3.1, 3, 2.9, 2.9, 3.6, 3.5

Georgia

Number (thousands), 556, 618, 620, 1112, 1340, 1276, 1201

Per 100 inhabitants, 12.6, 14, 14.1, 25.3, 30.7, 29.3, 27.7

Germany

Number (thousands), 53100, 50300, 53700, 52900, 51400, 50100, 48700

Per 100 inhabitants, 63.5, 60.3, 64.6, 63.7, 62, 60.5, 58.9

Ghana

Number (thousands), 377, 144, 267, 278, 285, 285, 270

Per 100 inhabitants, 1.7, 0.6, 1.1, 1.2, 1.2, 1.1, 1

Gibraltar

Number (thousands), 24, 24, 24, 24, 24, 23, 

Per 100 inhabitants, 81.9, 81.9, 82, 82, 82, 78.9, 

Greece

Number (thousands), 5469, 5254, 6000, 5898, 5745, 5461, 5333

Per 100 inhabitants, 49.4, 47.4, 54.1, 53.1, 51.7, 49.1, 47.9

Greenland

Number (thousands), 23, 23, 22, 22, 20, 19, 18

Per 100 inhabitants, 40.8, 40.3, 39, 38.6, 35.1, 33.3, 31.6

Grenada

Number (thousands), 29, 29, 28, 28, 28, 28, 29

Per 100 inhabitants, 27.5, 27.5, 27.2, 27.1, 26.7, 26.3, 27

Guam

Number (thousands), 66, 66, 66, 66, 0, 67, 67

Per 100 inhabitants, 41.4, 41.4, 41.3, 41.1, 0, 41.2, 40.6

Guatemala

Number (thousands), 1414, 1449, 1413, 1499, 1626, 1744, 1863

Per 100 inhabitants, 10.6, 10.6, 10.1, 10.5, 11.1, 11.6, 12

Guernsey

Number (thousands), 45, 45, 45, 45, 0, 0, 

Guinea

Number (thousands), 22, 27, 22, 18, 18, 0, 

Per 100 inhabitants, 0.2, 0.3, 0.2, 0.2, 0.2, 0, 

Guinea-Bissau

Number (thousands), 5, 5, 5, 5, 5, 5, 5

Per 100 inhabitants, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3

Guyana

Number (thousands), 128, 139, 147, 150, 152, 154, 157

Per 100 inhabitants, 16.7, 17.9, 18.8, 19.1, 19.3, 19.4, 19.6

Haiti

Number (thousands), 108, 108, 107, 50, 50, 50, 41

Per 100 inhabitants, 1.1, 1.1, 1.1, 0.5, 0.5, 0.5, 0.4

Honduras

Number (thousands), 821, 826, 716, 673, 614, 611, 619

Per 100 inhabitants, 11.4, 11.3, 9.6, 8.8, 7.9, 7.7, 7.7

Hungary

Number (thousands), 3251, 3094, 3069, 2977, 2933, 2961, 2978

Per 100 inhabitants, 32.3, 30.8, 30.6, 29.7, 29.3, 29.7, 29.9

Iceland

Number (thousands), 187, 200, 190, 194, 191, 180, 168

Per 100 inhabitants, 61.2, 64.5, 60.6, 60.9, 59.3, 55.2, 51

India

Number (thousands), 39250, 37900, 37060, 35090, 32685, 30787, 28894

Per 100 inhabitants, 3.4, 3.2, 3.1, 2.9, 2.7, 2.5, 2.3

Indonesia

Number (thousands), 19530, 30378, 34810, 40931, 38617, 37983, 40165

