Country or area, 2007, 2008, 2009, 2010, 2011, 2012, 2013
Per 100 inhabitants, 50.8, 52.1, 54.2, 56.1, 57.7, 61.2, 63.2

Saint Kitts and Nevis

Number (thousands), 20, 20, 21, 20, 20, 20, 19

Per 100 inhabitants, 40.5, 39.9, 39.6, 37.8, 37.4, 37.3, 35.4

Saint Lucia

Number (thousands), 40, 41, 39, 37, 36, 37, 34

Per 100 inhabitants, 23.3, 23.7, 22, 21.1, 20, 20.4, 18.4

Saint Pierre and Miquelon

Number (thousands), 5, 5, 5, 5, 0, 0, 

Per 100 inhabitants, 78.8, 79.1, 79.2, 79.4, 0, 0, 

Saint Vincent-Grenadines

Number (thousands), 23, 23, 23, 22, 23, #19, 19

Per 100 inhabitants, 21, 20.9, 21.1, 19.9, 20.8, 17.7, 17.4

San Marino

Number (thousands), 21, 21, 20, 20, 19, 19, 19

Per 100 inhabitants, 69.4, 69.7, 66.6, 63.4, 60.2, 59.9, 59.6

Sao Tome and Principe

