Somalia, T, 0, 0, 1, 108, 0, 0, 0, 12
Somalia, R, 68, 112, 200, 330, 12, 17, 25, 37
South Africa, T, 100, "2, 010", "3, 000", "3, 800", 4, 68, 89, 98
South Africa, R, "2, 400", "8, 000", "10, 000", "11, 800", 93, 271, 298, 303
Sudan, T, 100, 800, "1, 100", "2, 000", 6, 43, 50, 77
Sudan, R, "2, 000", "3, 500", "5, 375", "6, 480", 125, 187, 246, 250
Swaziland, T, 0, 1, 8, 15, 0, 2, 11, 19
Swaziland, R, 55, 81, 101, 127, 114, 143, 153, 165
Togo, T, 1, 10, 15, 23, 0, 4, 5, 6
Togo, R, 350, 530, 630, 770, 153, 203, 208, 211
Tunisia, T, 191, 300, 400, 650, 34, 47, 55, 79
Tunisia, R, 775, "1, 000", "1, 185", "1, 640", 138, 157, 163, 199
Uganda, T, 59, 72, 90, 187, 5, 6, 6, 10
Uganda, R, 250, 400, "1, 250", "1, 975", 22, 30, 83, 109
United Rep. of Tanzania, T, 4, 7, 8, 42, 0, 0, 0, 2
United Rep. of Tanzania, R, 232, 290, 365, 660, 15, 16, 17, 25
Western Sahara, T, 2, 2, 4, 5, 15, 18, 21, 21
Western Sahara, R, 15, 22, 33, 44, 128, 169, 179, 183
Zaire, T, 7, 10, 13, 41, 0, 0, 0, 1
Zaire, R, "1, 000", "1, 500", "2, 800", "3, 740", 43, 56, 88, 97
Zambia, T, 23, 60, 90, 217, 5, 10, 13, 26
Zambia, R, 100, 135, 500, 680, 21, 24, 73, 81
Zimbabwe, T, 60, 73, 178, 270, 10, 10, 21, 26
Zimbabwe, R, 180, 240, 500, 860, 29, 34, 60, 84
Anguilla, R, 0, 0, 0, 2, 0, 0, 0, 309
Antigua and Barbuda, T, 15, 16, 19, 23, 238, 262, 302, 355
Antigua and Barbuda, R, 15, 17, 21, 27, 238, 279, 333, 415
Bahamas, T, 0, 31, 51, 59, 0, 148, 219, 225
Bahamas, R, 90, 102, 120, 140, 503, 486, 515, 538
Barbados, T, 46, 52, 60, 68, 187, 209, 237, 265
Barbados, R, 94, 135, 200, 226, 382, 542, 791, 876
Belize, T, 0, 0, 0, 32, 0, 0, 0, 165
Belize, R, 59, 71, 88, 112, 457, 486, 530, 577
Bermuda, T, 20, 30, 45, 57, 377, 556, 804, 919
Bermuda, R, 50, 60, 68, 78, 943, "1, 111", "1, 214", "1, 258"
British Virgin Islands, T, 1, 2, 3, 4, 64, 167, 214, 219
British Virgin Islands, R, 5, 6, 7, 8, 455, 458, 486, 501
Canada, T, "9, 200", "10, 617", "14, 028", "17, 252", 405, 441, 557, 639
Canada, R, "16, 250", "17, 734", "23, 237", "27, 776", 715, 737, 923, "1, 029"
Cayman Islands, T, 0, 2, 4, 5, 0, 106, 190, 197
