North Borneo, L, 21.0, 17.0, 20.0, 0
Pakistan, L, 262.0, 276.0, 281.0, 396.0
Philippines, L, 179.0, "13, 600.0", 0, 0
Port. Timor, L, 0, 0.7, 0, 0
Sarawak, L, 10.8, 34.0, 42.0, 49.0
Saudi Arabia, R, 210.0, "1, 374.0", 0, 0
Singapore, L, 241.0, 142.0, 149.0, 0
Syria, R, 40.0, "13, 260.0", 0, 0
Thailand, L, 0, 163.0, 0, 0
Turkey, L, 241.0, "1, 352.0", "1, 503.0", "1, 504.0"
"Viet-Nam,  Rep. of", L, 212.0, 125.0, 125.0, 0
Albania, L, 29.0, 54.0, 60.0, 66.0
Andorra, R, 0, 1.0, 1.5, 3.0
Austria, L, "1, 106.0", "1, 977.0", "2, 040.0", "2, 070.0"
Belgium, L, "1, 058.0", "2, 644.0", "2, 767.0", "2, 896.0"
Bulgaria, L, 210.0, "1, 431.0", "1, 601.0", "1, 733.0"
Czechoslovakia, L, "2, 108.0", "3, 530.0", "3, 621.0", "3, 664.0"
Denmark, L, "1, 057.0", "1, 523.0", "1, 687.0", "1, 674.0"
Finland, L, 630.0, "1, 228.0", "1, 290.0", "1, 330.0"
France, L, "6, 104.0", "10, 981.0", "12, 966.0", "13, 776.0"
"Germany,  East.", L, "2, 817.0", "5, 574.0", "5, 594.0", "5, 602.0"
"Germany,  Fed. Rep. of", L, "7, 299.0", "15, 892.0", "16, 270.0", "16, 696.0"
Gibraltar, L, 2.0, 4.8, 4.8, 4.8
Greece, L, "1, 130.0", 784.0, 861.0, 900.0
Hungary, L, 475.0, "2, 224.0", "2, 314.0", "2, 390.0"
Iceland, L, 35.0, 50.0, 50.0, 51.0
Ireland, L, 261.0, 494.0, 496.0, 516.0
Italy, L, "2, 205.0", "108, 005.0", "8, 488.0", "9, 133.0"
Liechtenstein, L, 22.0, 133.6, 0, 0
Luxembourg, L, 49.0, 98.0, 101.0, 103.0
Malta and Gozo, L, 31.0, 70.0, 73.0, 73.0
Monaco, R, 23.0, 125.1, 5.5, 6.0
Netherlands, L, "1, 615.0", "3, 126.0", "3, 064.0", "3, 072.0"
Norway, L, 654.0, "1, 021.0", "1, 034.0", "1, 052.0"
Poland, L, 891.0, "5, 268.0", "5, 487.0", "5, 620.0"
Portugal, L, 179.0, 848.0, 902.0, "1, 006.0"
Romania, L, 258.0, "2, 008.0", "2, 165.0", "2, 283.0"
San Marino, L, 11.0, 121.5, 1.9, 0
Spain, L, 657.0, "2, 717.0", "3, 174.0", "2, 850.0"
Sweden, L, "2, 025.0", "2, 744.0", "2, 843.0", "2, 940.0"
Switzerland, L, 866.0, "1, 445.0", "1, 490.0", "1, 539.0"
United Kingdom, L, "11, 460.0", "15, 163.0", "15, 316.0", "15, 580.0"
Yugoslavia, L, 252.0, "1, 562.0", "1, 826.0", "2, 080.0"
American Samoa, R, 20.2, 60.5, 0, 0
Australia, L, "11, 986.0", "2, 283.0", "2, 256.0", 0
Br. Solomon Is., L, 0.1, 0.6, 0.8, 0.9
Fiji Is., L, 2.0, 24.0, 30.0, 26.0
Gilbert and Ellice Islands, L, 0.0, 0.2, 0.2, 0.5
Fr. Polynesia, R, 0, 18.0, 19.0, 20.0
New Caledonia, R, 22.0, 8.8, 10.0, 12.0
New Hebrides, L, 0.2, 0.9, 0.8, 0
New Zealand, L, 426.0, 580.0, 605.0, 615.0
Norfolk Is., L, 20.1, 0.4, 0.4, 0.4
Tonga, R, 10.1, 1.0, 2.0, 0
Western Samoa, L, 20.5, 3.0, 0, 5.9
USSR, L, "211, 452.0", "44, 000.0", 0, 0
Ukrainian SSR, L, 0, "(2, 333.0)", "(2, 492.0)", 0
