Country, Code, 1948, 1958, 1959, 1960
Algeria, L, 157.0, 444.0, 504.0, 596.0
Angola, L, 18.0, 38.0, 44.0, 0
Basutoland, L, 20.4, 0.9, 1.0, 0
Bechuanaland, R, 20.3, 1.6, 1.9, 0
Cameroon, R, 0, "2, 001.0", 10.0, 0
Cape Verde Is., L, 0, 1.3, 1.6, 0
Central African Republic, L, 0, 4.3, 5.0, 0
Chad, L, 0, 1.5, 2.5, 0
Comoro Islands, R, 0, 0.4, 0.5, 0
Congo (Brazzaville), L, 0, 10.0, 10.0, 0
Congo (Leopoldville), L, 6.0, 29.0, 35.0, 0
Dahomey, L, 0, 2.0, 5.0, 0
Ethiopia, R, 13.0, 50.0, 85.0, 0
Fr. Somaliland, R, 20.2, 4.5, 5.0, 0
Gabon, L, 0, 0, 20.0, 0
Gambia, R, 0, 31.0, 1.2, 0
Ghana, L, 8.0, 101.0, 109.0, 0
Ivory Coast, L, 0, 40.0, 50.0, 0
Kenya, L, 10.0, 32.0, 29.0, 57.0
Liberia, R, 22.0, 310.0, 50.0, 0
Libya, L, 0, 325.0, 0, 0
Madagascar, R, 0, 50.0, 55.0, 0
Mali, L, 0, 0, 7.3, 0
Mauritania, L, 0, 4.0, 5.0, 0
Mauritius, L, 5.0, 29.0, 34.0, 40.0
Morocco, L, 86.0, 497.0, 511.0, 532.0
Mozambique, L, 6.0, 27.0, 31.0, 41.0
Niger, L, 0, 1.9, 2.3, 0
Nigeria, R, 9.0, 73.0, 101.0, 143.0
Port. Guinea, L, 20.6, 1.3, 1.4, 0
Reunion, L, 22.0, 11.0, 12.0, 14.0
"Rhodesia,  Nyasaland,  Fed. of", L, 30.0, 45.0, 61.0, 0
Ruanda-Urundi, R, 0, 1.5, 0, 0
Sao Tome and Prinicipe, L, 20.2, 0.4, 0.6, 0
Senegal, 0, 0, "8, 100.0", 125.0, 0
Seychelles, L, 0.1, 0.4, 0.4, 0
Sierra Leone, L, 2.0, 7.4, 8.5, 0
Somalia, R, 21.3, 3.1, 3.5, 0
South Africa, L, 497.0, 919.0, 965.0, 996.0
So. West Africa, L, 28.0, 19.0, 0, 0
Sudan, L, 13.0, 37.0, 10.0, 0
Swaziland, L, 20.4, 1.5, 7.0, 0
Tanganyika, R, 1.0, 21.0, 18.0, 0
Togo, 0, 0, 33.0, 5.0, 15.0
Tunisia, L, 43.0, 101.0, 130.0, 170.0
Uganda, R, 21.0, 70.0, 90.0, 0
"UAR,  Egypt", L, "1, 238.0", "3, 792.0", 0, "1, 500.0"
Upper Volta, L, 0, 27.0, 3.0, 0
"Zanzibar,  Pemba", R, 0, 5.0, 4.0, 4.0
Antigua, L, 10.4, 1.0, 0, 0
Bahama Islands, L, 12.0, 14.0, 16.0, 0
Barbados, L, 4.0, 28.0, 31.0, 0
Bermuda, R, 5.0, 17.0, 18.0, 0
Br. Flonduras, L, 11.0, 2.0, 3.0, 0
Canada, R, "1, 944.0", "7, 040.0", "7, 520.0", "8, 050.0"
Costa Rica, R, 223.0, 75.0, 75.0, 75.0
Cuba, R, "1, 575.0", 0, "1, 000.0", "1, 100.0"
Dominican Rep., R, 30.0, 80.0, 98.0, 0
El Salvador, R, 111.0, 40.0, 40.0, 0
Guadeloupe, L, 21.0, 6.0, 6.0, 6.0
Guatemala, L, 220.0, 0, 0, 0
Haiti, L, 4.0, 20.0, 21.0, 0
Honduras, L, 20.0, 45.0, 45.0, 0
Jamaica, R, 223.0, 137.0, 147.0, 0
Martinique, L, 23.0, 17.0, 18.0, 0
Mexico, R, 700.0, "2, 980.0", "3, 120.0", 0
Neth. Antilles, R, 234.0, 39.0, 39.0, 0
Nicaragua, R, 0, 35.0, 0, 0
Panama, R, 181.0, 130.0, 163.0, 0
Puerto Rico, R, 0, "3, 270.0", 0, 0
St. Pierre and Miquelon, L, 20.6, 1.0, 1.0, 0
Trinidad, L, 20.0, 59.0, 64.0, 58.0
United States, R, "74, 000.0", "161, 000.0", "168, 500.0", "170, 000.0"
Windward Is., R, 0, 7.0, 9.0, 0
Argentina, R, "22, 200.0", "3, 222.0", "3, 350.0", 0
Bolivia, R, "1, 150.0", "3, 250.0", 0, 0
Brazil, R, "22, 500.0", "4, 000.0", "4, 570.0", 0
British Guiana , L, 6.0, 34.0, 35.0, 37.0
Chile, R, "1, 550.0", 700.0, 0, 0
Colombia, R, "2, 500.0", "3, 800.0", 0, "1, 971.0"
Ecuador, R, 30.0, 120.0, 170.0, 0
Falkland Is., L, 0.6, 0.8, 0.8, 0.8
Fr. Guiana, L, 0, 0.7, 0.8, 0.8
Paraguay, R, 170.0, 105.0, 105.0, 0
Peru, R, "2, 500.0", "2, 600.0", 820.0, 0
Surinam, R, 5.0, 12.0, 0, 0
Uruguay, R, 300.0, "3, 700.0", 800.0, 0
Venezuela, R, 150.0, 750.0, 0, "1, 250.0"
Aden, R, 11.1, 37.0, 40.0, 60.0
Afghanistan, R, 28.0, 20.0, 0, 0
Bahrain, R, 0, 12.0, 12.0, 12.0
Brunei, L, 0, 3.0, 6.0, 0
Burma, L, 8.0, 50.0, 0, 115.0
Cambodia, R, 0, 11.0, 19.0, 32.0
Ceylon, L, 23.0, 230.0, 279.0, 0
China (mainland), 0, 0, "122, 500.0", "7, 001.0", 0
China (Taiwan), L, 214.0, 339.0, 445.0, 0
Cyprus, L, 8.0, 85.0, 85.0, 100.0
Fed. of Malaya, L, 22.0, 185.0, 234.0, 252.0
Hong Kong, I, 30.0, 124.0, 151.0, 165.0
India, L, 282.0, "1, 560.0", "1, 604.0", "2, 148.0"
Indonesia, L, "1, 125.0", 640.0, 816.0, 0
Iran, R, 102.0, "8, 500.0", 800.0, 0
Iraq, L, 130.0, 100.0, 100.0, 0
Israel, L, 127.0, 377.0, 400.0, 0
Japan, L, "7, 593.0", "14, 610.0", 0, "14, 635.0"
Jordan, L, 22.0, 47.0, 60.0, 64.0
"Korea,  Rep. of", R, 88.0, 351.0, 726.0, "1, 009.0"
Laos, L, 10.1, 15.0, 0, 0
Lebanon, L, 31.0, 80.0, 0, 100.0
Macau, L, 25.0, 5.0, 5.0, 0
"Muscat,  Oman", R, 0, 0, 1.0, 0
Nepal, R, 0, 12.0, 13.0, 0
Netherlands New Guinea, R, 0, 0, 7.5, 0
North Borneo, L, 21.0, 9.0, 13.0, 1.7
Pakistan, L, J62, 227.0, 250.0, 0
Philippines, L, 179.0, 305.0, 600.0, 0
Port. India, L, 0, 5.0, 6.0, 0
Port. Timor, L, 0, 0.4, 0.7, 0
Sarawak, R, 0.8, 26.0, 26.0, 34.0
Saudi Arabia, R, 210.0, 21.0, 74.0, 0
Singapore, L, 241.0, 106.0, 136.0, 142.0
Syria, L, 40.0, 231.0, 260.0, 0
Thailand, L, 0, 95.0, 0, 163.0
Turkey, L, 241.0, "1, 111.0", "1, 219.0", "1, 341.0"
"Viet-Nam,  Rep. of", L, 216.0, 87.0, 0, 0
Albania, L, 40.0, 33.0, 43.0, 0
Andorra, R, 0, 1.0, 1.0, 1.0
Austria, L, "1, 106.0", "1, 893.0", "1, 944.0", "1, 977.0"
Belgium, L, "1, 058.0", "2, 409.0", "2, 477.0", "2, 428.0"
Bulgaria, R, 210.0, "1, 059.0", "1, 246.0", "1, 431.0"
Czechoslovakia, L, "2, 108.0", "3, 317.0", "3, 437.0", "3, 530.0"
Denmark, L, "1, 057.0", "1, 449.0", "1, 489.0", "1, 523.0"
Finland, L, 630.0, "1, 140.0", "1, 187.0", "1, 228.0"
France, L, "6, 104.0", "10, 646.0", "10, 793.0", "10, 981.0"
"Germany,  East", R, "2, 817.0", "5, 378.0", "5, 489.0", "5, 642.0"
"Germany,  Fed. Rep. of", L, "7, 299.0", "15, 263.0", "15, 900.0", "16, 442.0"
Gibraltar, L, 2.0, 5.0, 5.0, 5.0
Greece, L, "1, 130.0", 697.0, 743.0, 0
Hungary, L, 475.0, "1, 963.0", "2, 102.0", "2, 224.0"
Iceland, L, 235.0, 47.0, 47.0, 50.0
Ireland, L, 261.0, 485.0, 492.0, 494.0
Italy, L, "2, 205.0", "7, 138.0", "7, 587.0", "8, 005.0"
Liechtenstein, L, 22.0, 3.0, 0, 0
Luxembourg, L, 49.0, 91.0, 95.0, 98.0
Malta and Gozo, L, 31.0, 63.0, 67.0, 64.0
Monaco, R, 23.0, 5.0, 5.0, 0
Netherlands, L, "1, 615.0", "2, 998.0", "3, 095.0", "3, 126.0"
Norway, L, 654.0, 997.0, "1, 008.0", "1, 022.0"
Poland, L, 891.0, "4, 465.0", "4, 931.0", "5, 268.0"
Portugal, L, 179.0, 689.0, 791.0, 848.0
Romania, L, 258.0, "1, 655.0", "1, 841.0", "2, 008.0"
San Marino, L, 21.0, 1.0, 0, 0
Spain, L, 657.0, "2, 293.0", "2, 464.0", 0
