Country or area, Number of titles, Total average daily circulation or copies printed (thousands), Circulation or copies printed per 1000 inhabitants, 1997, 1998, 1999, 2000, 1997, 1998, 1999, 2000, 1997, 1998, 1999, 2000
Africa, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Algeria, 18, 24, 0, 0, 761, 796, 0, 26.4, 27.2, 0, 0, 0
Angola, 5, 5, 0, 0, 129, 133, 0, 11.3, 11.3, 0, 0, 0
Benin, 0, 0, 13, 0, 0, 0, 33, 0, 0, 5.4, 0, 0
Botswana, 1, 1, 0, 0, 41, 41, 0, 24.9, 24.7, 0, 0, 0
Burkina Faso, 4, 4, 0, 0, 14, 15, 0, 1.3, 1.3, 0, 0, 0
Burundi, 1, 1, 0, 0, 15, 15, 0, 2.5, 2.5, 0, 0, 0
Cameroon, 2, 2, 0, 0, 92, 92, 0, 6.5, 6.3, 0, 0, 0
Central African Rep., 3, 3, 0, 0, 6, 6, 0, 1.7, 1.7, 0, 0, 0
Chad, 2, 2, 0, 0, 2, 2, 0, 0.2, 0.2, 0, 0, 0
Congo Congo, 6, 6, 0, 0, 21, 21, 0, 6.5, 6.4, 0, 0, 0
Cte d'Ivoire, 12, 12, 0, 0, 235, 238, 0, 15.7, 15.6, 0, 0, 0
Dem. Rep. of the Congo, 9, 9, 0, 0, 129, 129, 0, 2.8, 2.8, 0, 0, 0
Egypt, 14, 15, 16, 0, 2100, 2332, 2080, 0, 32.8, 35.7, 31.3, 0
Equatorial Guinea, 1, 1, 0, 0, 2, 2, 0, 0, 4.7, 4.6, 0, 0
Ethiopia, 2, 2, 0, 0, 23, 23, 0, 0, 0.4, 0.4, 0, 0
Gabon Gabon, 2, 2, 0, 0, 34, 35, 0, 0, 28.9, 29, 0, 0
Gambia, 1, 1, 0, 0, 2, 2, 0, 0, 1.7, 1.7, 0, 0
Ghana Ghana, 4, 4, 0, 0, 256, 260, 0, 0, 13.9, 13.9, 0, 0
Guinea-Bissau, 1, 1, 0, 0, 6, 6, 0, 0, 4.8, 4.8, 0, 0
Kenya, 4, 4, 4, 0, 265, 268, 250, 0, 9.2, 9.1, 8.3, 0
Lesotho, 2, 2, 0, 0, 16, 16, 0, 0, 9, 9, 0, 0
Liberia, 6, 6, 0, 0, 36, 37, 0, 0, 15, 14.2, 0, 0
Libyan Arab Jamah., 4, 4, 0, 0, 71, 71, 0, 0, 14.4, 14.1, 0, 0
Madagascar, 5, 5, 0, 0, 68, 68, 0, 0, 4.6, 4.5, 0, 0
Malawi, 5, 5, 0, 0, 26, 26, 0, 0, 2.4, 2.4, 0, 0
Mali, 3, 3, 0, 0, 12, 13, 0, 0, 1.1, 1.1, 0, 0
