Country, Code, Year, Number
Morocco [Fr.], R, 1955 (Jan.), 2.5
Alaska, R, 0, 19.0
Canada, R, 0, "1, 407.0"
Cuba, R, 1955, 200.0
Dominican Republic, R, 1954 (Aug.), 5.0
Mexico, R, 1954 (July), 100.0
Puerto Rico, R, 1955 (Apr.), 65.0
United States, R, 1955 (Apr.), "36, 180.0"
Argentina, R, 1955, 125.0
Brazil, R, 1955, 130.0
Colombia, R, 1955, 15.0
Venezuela, R, 1955 (July), 30.0
Japan, R, 1955, 100.0
Philippines, R, 1954 (Dec.), 5.0
Thailand, R, 1955, 1.2
Turkey, R, 1954 (Oct.), 0.2
Austria, R, 1955, 0.7
Belgium, R, 1955, 60.0
Czechoslovakia, R, 1955, 30.0
Denmark, L, 1955 (Aug.), 2.6
France, L, 1955, 225.0
Eastern Germany, R, 1954 (Apr.), 4.0
Western Germany, L, 1955, 200.0
Ireland, R, 1954 (Jan.), 1.0
Italy, L, 1955 (July), 130.0
Luxembourg, R, 1955, 1.0
Netherlands, R, 1955, 2.5
Saar, R, 1955 (Aug.), 0.8
Spain, L, 1955 (Aug.), 0.4
Sweden, R, 1955 (July), 5.0
Switzerland, L, 1955 (July), 7.9
United Kingdom, L, 1955 (May), "4, 624.0"
Hawaii, R, 1955 (Apr.), 71.0
USSR, R, 1954, "1, 000.0"
