Country, 1932, 1937, 1954, 1955, 1956
Angola, 0, 0, 15, 16, 16
Belg. Congo, 0, 1, 7, 8, 8
Cameroons [Fr.], 0, 0, 1, 3, 2
Cape Verde Islands, 0, 0, 2, 3, 3
Fr. Eq. Africa, 0, 0, 1, 2, 2
Fr. West Africa, 0, 0, 3, 5, 5
"Kenya,  Uganda,  Tanganyika", 0, 1, 7, 7, 7
Morocco A, 1, 1, 4, 16, 12
Morocco B, 0, 0, 2, 3, 3
Mozambique, 0, 1, 4, 4, 4
Nigeria, 0, 0, 4, 4, 4
Port. Guinea, 0, 0, 1, 1, 1
Reunion, 1, 1, 2, 1, 1
"Rhodesia,  Nyasaland,  Fed.", 0, 0, 8, 0, 0
Union of South Africa, 5, 7, 11, 11, 11
Barbados, 0, 0, 1, 1, 1
Canada, 70, 88, 238, 246, 249
Cuba, 0, 0, 138, 156, 0
Dominican Republic, 1, 24, 48, 62, 0
Guadeloupe, 0, 0, 2, 2, 2
Haiti, 0, 3, 17, 0, 0
Jamaica, 0, 0, 4, 0, 0
Martinique, 0, 2, 2, 1, 1
Mexico, 0, 101, 227, 0, 0
Neth. Antilles (Neerl.), 0, 1, 4, 5, 6
Panama, 0, 0, 0, 59, 0
United States, 0, 734, "3, 188", "3, 330", "3, 504"
Argentina, 37, 40, 64, 0, 64
Brazil, 22, 50, 687, 593, 0
Chile, 37, 0, 99, 96, 0
Ecuador, 0, 0, 54, 0, 0
Falkland Islands, 0, 0, 1, 2, 2
Paraguay, 0, 0, 15, 0, 0
Peru, 4, 8, 58, 76, 0
Uruguay, 0, 0, 0, 77, 79
Ceylon, 1, 1, 1, 0, 0
Hong Kong, 1, 3, 3, 2, 2
India, 4, 11, 26, 27, 29
Indonesia, 0, 0, 26, 26, 25
Israel, 0, 0, 8, 8, 8
Japan, 21, 51, 145, 157, 186
Jordan, 0, 0, 2, 2, 2
"Korea,  South", 0, 0, 13, 0, 0
Laos, 0, 0, 2, 0, 0
Macau, 0, 1, 1, 2, 2
Malaya, 0, 3, 11, 6, 13
"New Guinea,  West", 0, 0, 2, 2, 2
Pakistan, 0, 0, 7, 8, 0
Syria, 0, 0, 2, 2, 2
Thailand, 0, 0, 15, 16, 17
Turkey, 2, 2, 0, 5, 5
Viet-Nam, 0, 5, 4, 4, 4
Austria, 0, 0, 88, 90, 80
Belgium, 2, 3, 12, 12, 12
Czechoslovakia, 0, 8, 15, 0, 0
Denmark, 3, 3, 11, 13, 19
Finland, 8, 11, 34, 23, 27
France, 28, 26, 75, 42, 45
Germany, 26, 30, 232, 262, 294
Saar, 0, 0, 3, 0, 0
Greece, 0, 1, 17, 16, 18
Iceland, 1, 1, 4, 4, 0
Ireland, 3, 3, 3, 3, 3
Italy, 12, 17, 130, 178, 274
Luxembourg, 0, 1, 4, 4, 3
Monaco, 0, 0, 3, 3, 0
Netherlands, 3, 6, 8, 8, 8
Norway, 13, 16, 29, 29, 31
Portugal, 0, 23, 43, 51, 33
Spain, 0, 0, 89, 0, 165
Sweden, 31, 31, 34, 35, 35
Switzerland, 5, 6, 10, 10, 23
United Kingdom, 16, 13, 65, 54, 60
Yugoslavia, 0, 4, 17, 0, 0
Australia, 62, 111, 161, 160, 160
Fiji Islands, 0, 0, 3, 3, 4
New Zealand, 34, 26, 31, 31, 32
