Country or area, Number of titles, Total average daily circulation or copies printed(thousands), Circulation or copies printed per 1000 inhabitants, 1997, 1998, 1999, 2000, 1997, 1998, 1999, 2000, 1997, 1998, 1999, 2000
Lithuania, 23, 23, 29, 22, 113, 123, 126, 108, 30.6, 33.2, 33.9, 29.3
Malta, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Norway, 82, 81, 82, 81, 2598, 2592, 2591, 2545, 591, 585.4, 582.4, 569.5
Poland, 55, 52, 46, 42, 4194, 4168, 3870, 3928, 108.4, 107.9, 100.2, 101.8
Portugal, 31, 0, 0, 0, 316, 0, 0, 0, 32, 0, 0, 0
Republic of Moldova, 5, 6, 6, 6, 480, 660, 0, 0, 109.7, 153, 0, 0
Romania, 74, 95, 139, 145, 0, 0, 0, 0, 0, 0, 0, 0
San Marino, 3, 3, 0, 0, 2, 2, 0, 0, 70.4, 0, 0, 0
Slovakia, 21, 19, 24, 16, 1324, 939, 851, 705, 246.5, 174.2, 157.8, 130.6
Slovenia, 5, 5, 5, 5, 343, 340, 341, 335, 171.9, 170.5, 171.3, 168.5
Spain, 0, 0, 84, 87, 0, 0, 4191, 4003, 0, 0, 105.1, 100.3
Sweden, 94, 94, 94, 90, 3881, 3820, 3750, 3627, 438.2, 431.3, 423.7, 410.2
Switzerland, 78, 74, 81, 0, 2680, 2620, 2676, 0, 369.6, 365.5, 373.2, 0
TFYR of Macedonia, 4, 4, 5, 6, 88, 106, 109, 108, 44.2, 52.7, 53.9, 53.3
Ukraine, 53, 41, 67, 61, 3495, 5059, 6107, 8683, 68.4, 100.3, 122.1, 175.2
Oceania, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
New Zealand, 28, 28, 28, 28, 821, 786, 774, 765, 218.4, 211.5, 206.5, 202.5
