Number (thousands), 0, 245, 245, 248, 248, 261, 264, 272, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 54.3, 53.5, 53.4, 52.2, 53.5, 53, 53.7, 0, 0, 0, 0, 

Madagascar

Number (thousands), 0, 59, 92, 130, 134, 165, 186, 172, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0.3, 0.5, 0.7, 0.7, 0.8, 0.9, 0.8, 0, 0, 0, 0, 

Malawi

Number (thousands), 0, 93, 103, 130, 175, 111, 111, 160, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0.8, 0.8, 1, 1.3, 0.8, 0.8, 1.1, 0, 0, 0, 0, 



Malaysia

