Number (thousands), 0, 30, 33, 32, 30, 27, 26, 26, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 4.7, 5, 4.7, 4.3, 3.9, 3.7, 3.6, 0, 0, 0, 0, 

Bolivia (Plur. State of)

Number (thousands), 0, 625, 646, 667, 678, 789, 804, 848, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 7, 7.1, 7.2, 7.2, 8.2, 8.2, 8.5, 0, 0, 0, 0, 

Bosnia and Herzegovina

Number (thousands), 0, 952, 969, 989, 1064, 1031, 999, 999, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 25.2, 25.6, 26.2, 28.2, 27.3, 26.5, 26.6, 0, 0, 0, 0, 

Botswana

Number (thousands), (01/04), 132, 136, 132, 137, 142, 137, 137, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 7.1, 7.3, 7, 7.1, 7.3, 6.9, 6.9, 0, 0, 0, 0, 

Brazil

Number (thousands), 0, 39579, 39853, 38800, 39400, 41235, 41497, 42141, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 21.5, 21.4, 20.6, 20.8, 21.5, 21.5, 21.6, 0, 0, 0, 0, 

British Virgin Islands1

Number (thousands), 0, 14, 15, 17, 18, 19, 20, 20, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 64.9, 69.6, 74.2, 78.6, 83, 87.4, 86.5, 0, 0, 0, 0, 

Brunei Darussalam

Number (thousands), 0, 83, 84, 80, 80, 81, 81, 80, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 23.4, 23.1, 21.7, 21.1, 21, 20.6, 20, 0, 0, 0, 0, 

Bulgaria

Number (thousands), 0, 2727, 2490, 2399, 2300, 2190, 2205, 2200, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 35, 32.2, 31.2, 30.1, 28.9, 29.2, 29.4, 0, 0, 0, 0, 

Burkina Faso

Number (thousands), 0, 85, 91, 95, 117, 148, 152, 144, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0.6, 0.6, 0.7, 0.8, 1, 1, 0.9, 0, 0, 0, 0, 

Burundi

Number (thousands), 0, 28, 31, 28, 29, 30, 32, 33, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0, 0, 0, 0, 

Cambodia

Number (thousands), 0, 32, 33, 26, 38, 43, 54, 359, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0.2, 0.3, 0.2, 0.3, 0.3, 0.4, 2.5, 0, 0, 0, 0, 

Cameroon

Number (thousands), 0, 99, 100, 131, 189, 255, 435, 496, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0.6, 0.6, 0.7, 1, 1.4, 2.3, 2.5, 0, 0, 0, 0, 

Canada

Number (thousands), 0, 20563, 18148, 18236, 18282, 18250, 17625, 17021, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 64.4, 56.2, 55.9, 55.4, 54.8, 52.3, 50, 0, 0, 0, 0, 

Cape Verde

Number (thousands), 0, 72, 72, 72, 72, 72, 72, 72, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 15.4, 15.1, 15, 14.9, 14.7, 14.6, 14.5, 0, 0, 0, 0, 

Cayman Islands

Number (thousands), (01/04), 38, 38, 38, 35, 36, 36, 37, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 75.6, 72.7, 70.8, 64.1, 64.7, 64.8, 66.4, 0, 0, 0, 0, 

Central African Rep.

Number (thousands), 0, 10, 10, 12, 12, 12, 12, 12, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0, 0, 0, 0, 

Chad

Number (thousands), 0, 13, 13, 20, 32, 45, 58, 51, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0.1, 0.1, 0.2, 0.3, 0.4, 0.5, 0.5, 0, 0, 0, 0, 

Chile

Number (thousands), 0, 3318, 3436, 3384, 3460, 3530, 3564, 3458, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 20.6, 21.1, 20.6, 20.8, 21, 21, 20.2, 0, 0, 0, 0, 

China

Number (thousands), 0, 311756, 350445, 367786, 365637, 340359, 313732, 294383, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 24, 26.8, 28, 27.7, 25.6, 23.5, 22, 0, 0, 0, 0, 

"China,  Hong Kong SAR"

Number (thousands), (01/04), 3763, 3793, 3836, 4209, 4183, 4277, 4345, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 55.3, 55.7, 56.1, 61.2, 60.4, 61.2, 61.6, 0, 0, 0, 0, 

"China,   Macao SAR"

Number (thousands), 0, 174, 174, 177, 178, 176, 170, 168, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 37, 36.2, 35.8, 35.2, 33.9, 32.1, 30.8, 0, 0, 0, 0, 

Colombia

Number (thousands), 0, 7589, 7679, 7860, 7924, 7929, 7474, 6809, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 17.9, 17.8, 18, 17.9, 17.6, 16.4, 14.7, 0, 0, 0, 0, 

Comoros

Number (thousands), 0, 15, 17, 19, 26, 29, 31, 21, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 2.4, 2.6, 2.9, 3.8, 4.1, 4.3, 2.9, 0, 0, 0, 0, 

Congo

Number (thousands), 0, 14, 16, 18, 20, 22, 10, 10, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0.4, 0.5, 0.5, 0.5, 0.6, 0.6, 0.2, 0, 0, 0, 0, 

Cook Islands

Number (thousands), 0, 6, 7, 7, 7, 7, 7, 7, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 31.5, 34.2, 33.7, 34.3, 33.4, 34.1, 35.6, 0, 0, 0, 0, 

Costa Rica

Number (thousands), 0, 1343, 1389, 1330, 1437, 1438, 1500, 1482, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 31.7, 32.2, 30.3, 32.3, 31.8, 32.7, 31.8, 0, 0, 0, 0, 

Cte dIvoire

Number (thousands), 0, 258, 259, 271, 248, 357, 282, 223, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 1.5, 1.4, 1.5, 1.3, 1.9, 1.5, 1.1, 0, 0, 0, 0, 

Croatia

Number (thousands), 0, 1888, 1883, 1831, 1847, 1878, 1859, 1866, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 42.4, 42.4, 41.3, 41.7, 42.5, 42.2, 42.4, 0, 0, 0, 0, 

Cuba

Number (thousands), 0, 768, 856, 962, 1055, 1088, 1120, 1164, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 6.8, 7.6, 8.5, 9.4, 9.7, 9.9, 10.3, 0, 0, 0, 0, 

Cyprus

Number (thousands), 0, 418, 420, 408, 409, 413, 415, 415, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 41.2, 40.7, 39, 38.5, 38.4, 38, 37.6, 0, 0, 0, 0, 

Czech Republic

Number (thousands), 0, 3428, 3217, 2888, 2403, 2478, 2113, 2198, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 33.6, 31.5, 28.2, 23.3, 23.9, 20.2, 21, 0, 0, 0, 0, 

Dem. Rep. of the Congo

Number (thousands), 0, 11, 11, 10, 4, 37, 42, 42, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0, 0, 0, 0, 0.1, 0.1, 0.1, 0, 0, 0, 0, 

Denmark

Number (thousands), 0, 3491, 3348, 30991, 2825, 2975, 2773, 2623, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 64.7, 61.8, 56.9, 51.7, 54.1, 50.2, 47.3, 0, 0, 0, 0, 

Djibouti

Number (thousands), 0, 11, 11, 11, 14, 15, 17, 18, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 1.4, 1.3, 1.4, 1.7, 1.7, 1.9, 2.1, 0, 0, 0, 0, 

Dominica

Number (thousands), (01/04), 21, 19, 18, 17, 18, 17, 15, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 30.3, 27.6, 25.5, 25.5, 25.7, 24.3, 22.9, 0, 0, 0, 0, 

Dominican Republic

Number (thousands), 0, 902, 896, 897, 906, 986, 965, 1010, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 9.9, 9.7, 9.5, 9.5, 10.2, 9.9, 10.2, 0, 0, 0, 0, 

Ecuador

Number (thousands), 0, 1591, 1680, 1775, 1823, 1906, 2013, 2086, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 12, 12.5, 13, 13.2, 13.6, 14.1, 14.4, 0, 0, 0, 0, 

Egypt

Number (thousands), (30/06), 9535, 10474, 10890, 11229, 11853, 10313, 9618, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 13.1, 14.1, 14.4, 14.6, 15.1, 12.9, 11.9, 0, 0, 0, 0, 

El Salvador

Number (thousands), 0, 888, 971, 1037, 1080, 1077, 1099, 1001, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 14.7, 16.1, 17.1, 17.7, 17.6, 17.8, 16.2, 0, 0, 0, 0, 

Equatorial Guinea

Number (thousands), 0, 11, 10, 10, 10, 10, 10, 14, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 1.8, 1.7, 1.6, 1.6, 1.5, 1.5, 1.9, 0, 0, 0, 0, 

Eritrea

Number (thousands), 0, 39, 38, 38, 37, 40, 48, 54, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0.9, 0.8, 0.8, 0.8, 0.8, 1, 1, 0, 0, 0, 0, 

Estonia

