Number (thousands), 6372, 9104, 10992, 11848, 12014, 12313, 12639

Per 100 inhabitants, 72, 101, 117, 125, 126, 128, 130

Switzerland

Number (thousands), 4639, 6834, 9644, 10561, 11049, 11150, 11700

Per 100 inhabitants, 65, 92, 123, 132, 137, 137, 142

Syrian Arab Republic

Number (thousands), 30, 2950, 11696, 12980, 12291, 14040, 13904

Per 100 inhabitants, 0, 16, 54, 59, 56, 64, 62

Tajikistan

Number (thousands), 1, 265, 5941, 6528, 7537, 7999, 8489

Per 100 inhabitants, 0, 4, 78, 82, 92, 95, 99

Thailand

Number (thousands), 3056, 30460, 71726, 85012, 93849, 97096, 84797

Per 100 inhabitants, 5, 46, 108, 127, 140, 144, 126

TFYR of Macedonia

Number (thousands), 116, 1131, 2153, 2235, 2237, 2224, 2223

Per 100 inhabitants, 6, 54, 102, 106, 106, 106, 105

Timor-Leste

Number (thousands), 0, 33, 473, 621, 650, 1376, 1377

Per 100 inhabitants, 0, 3, 44, 56, 57, 119, 117

Togo

Number (thousands), 50, 434, 2602, 3312, 4263, 4516, 4657

