Country, Code, 1948, 1959, 1960, 1961
Algeria, L, 157.0, 504.0, 596.0, 674.0
Angola, L, 18.0, 44.0, 53.0, 0
Basutoland, L, 0.4, 1.0, 4.0, 0
Bechuanaland, R, 0.3, 1.9, 2.1, 2.2
Cameroon, R, 0, 10.0, 0, 0
Cape Verde Is., L, 0, 1.6, 1.8, 0
Central African Republic, L, 0, 5.0, 12.0, 0
Chad, L, 0, 2.5, 6.0, 15.0
Comoro Islands, R, 0, 0.5, 0, 0
Congo (Brazzaville), L, 0, 10.0, 11.0, 0
Congo (Leopoldville), L, 6.0, 35.0, 0, 0
Dahomey, L, 0, 5.0, 5.0, 5.0
Ethiopia, R, 13.0, 85.0, 0, 100.0
Fr. Somaliland, R, 0.2, 5.0, 0, 8.0
Gabon, L, 0, 20.0, 0, 0
Gambia, R, 0, 1.2, 2.0, 2.5
Ghana, L, 8.0, 109.0, 0, 130.0
Ivory Coast, L, 0, 50.0, 55.0, 0
Kenya, L, 10.0, 29.0, 57.0, 0
Liberia, R, 22.0, 80.0, 100.0, 0
Libya, L, 0, 74.0, 0, 0
Madagascar, R, 0, 55.0, 82.0, 125.0
Mali, L, 0, 7.3, 8.0, 10.0
Mauritania, L, 0, 5.0, 12.0, 20.0
Mauritius, L, 5.0, 34.0, 40.0, 42.0
Morocco, L, 586.0, 511.0, 532.0, 543.0
Mozambique, L, 6.0, 31.0, 37.0, 0
Niger, L, 0, 2.3, 0, 0
Nigeria, R, 9.0, 101.0, 143.0, 0
Port. Guinea, L, 20.5, 1.5, 1.8, 0
Reunion, L, 22.0, 12.0, 14.0, 18.0
"Rhodesia,  Nyasaland,  Fed. of", L, 230.0, 61.0, 100.0, 150.0
Sao Tome and Prinicipe, L, 20.2, 0.6, 0.9, 0
Senegal, 0, 0, 125.0, 0, 0
Seychelles, L, 0.1, 0.4, 0.5, 0.6
Sierra Leone, L, 2.0, 7.1, 9.2, 9.6
Somalia, R, 1.3, 3.5, 0, 0
South Africa, L, 497.0, 965.0, 996.0, "1, 068.0"
So. West Africa, L, 28.0, 819.0, 0, 0
Sudan, L, 13.0, 10.0, 11.0, 0
Swaziland, L, 20.5, 1.7, 1.8, 2.2
Tanganyika, R, 1.0, 18.0, 15.0, 34.0
Togo, R, 0, 5.0, 5.3, 6.3
Tunisia, L, 43.0, 130.0, 170.0, 270.0
Uganda, R, 21.0, 90.0, 0, 0
United Arab Republic, L, "1, 238.0", "1, 400.0", "1, 500.0", "1, 750.0"
Upper Volta, L, 0, 3.0, 0, 0
"Zanzibar,  Pemba", R, 0, 4.0, 5.0, 5.0
Antigua, L, 110.4, 82.0, 2.9, 2.9
Bahama Islands, L, 12.0, 16.0, 16.0, 18.0
Barbados, L, 4.0, 31.0, 35.0, 38.0
Bermuda, R, 5.0, 18.0, 19.0, 21.0
Br. Honduras, L, 0, 3.0, 0, 0
Canada, R, "1, 944.0", "7, 520.0", "8, 050.0", 0
Costa Rica, R, 223.0, 75.0, 77.0, 81.0
Cuba, R, "2, 575.0", "1, 000.0", "1, 100.0", "1, 300.0"
Dominican Rep., R, 30.0, 98.0, 102.0, 150.0
El Salvador, R, 0, 225.0, 0, 250.0
Guadeloupe, L, 21.0, 6.0, 6.0, 6.0
Guatemala, L, 127.0, 0, 0, 210.0
Haiti, L, 4.0, 21.0, 21.0, 21.0
Honduras, L, 20.0, 0, 0, 125.0
Jamaica, R, 223.0, 147.0, 0, 0
Martinique, L, 22.0, 18.0, 0, 0
Mexico, R, 700.0, "3, 120.0", "3, 300.0", "3, 500.0"
Neth. Antilles, R, 234.0, 39.0, 0, 0
Nicaragua, R, 0, 75.0, 0, 100.0
Panama, R, 181.0, 163.0, 0, 186.0
St. Pierre and Miquelon, L, 20.6, 1.0, 0, 0
Trinidad, L, 20.0, 64.0, 71.0, 0
United States, R, "74, 000.0", "168, 500.0", "170, 000.0", 0
Windward Is., R, 23.0, 9.0, 0, 0
Argentina, R, "22, 200.0", "3, 350.0", "3, 500.0", 0
Bolivia, R, "2, 150.0", "3, 250.0", 0, 255.0
Brazil, R, "22, 500.0", "4, 000.0", "4, 570.0", "4, 700.0"
