Country, 1948, 1955, 1956, 1957, 1958
Angola, 15, 16, 16, 16, 16
Belgian Congo, 7, 8, 8, 8, 14
Cameroons [Fr.], 1, 3, 2, 3, 3
Cape Verde Islands, 2, 3, 3, 3, 3
Ethiopia, 0, 4, 4, 3, 1
Fr. Eq. Africa, 1, 2, 2, 2, 3
West Africa, 1, 5, 5, 6, 7
"Kenya,  Uganda,  Tanganyika", 3, 7, 7, 7, 7
Morocco A, 5, 16, 12, 12, 12
B, 0, 3, 3, 0, 0
Mozambique, 2, 4, 4, 4, 5
Nigeria, 1, 4, 4, 4, 8
Reunion, 1, 1, 1, 1, 1
"Rhodesia,  Nyasaland,  Fed.", 6, 0, 7, 8, 8
Sierra Leone, 0, 3, 3, 0, 0
U. of South Africa, 10, 11, 11, 11, 11
"UAR,  Egypt", 0, 7, 13, 29, 29
"Zanzibar,  Pemba", 0, 1, 2, 1, 3
Canada, 161, 246, 249, 258, 275
Costa Rica, 0, 0, 38, 0, 0
Cuba, 0, 156, 160, 160, 0
Dominican Republic, 26, 30, 43, 46, 50
Guadeloupe, 2, 2, 2, 2, 2
Haiti, 8, 17, 0, 0, 0
Jamaica, 1, 0, 5, 7, 6
Martinique, 1, 1, 1, 1, 1
Mexico, 212, 227, 0, 0, 417
Neth. Antilles, 1, 5, 6, 6, 6
Panama, 0, 59, 0, 0, 64
United States, "3, 967", "3, 330", "3, 504", "3, 717", 0
SOUTH AMERICA, 0, 0, 0, 0, 0
Argentina, 0, 0, 64, 78, 78
Brazil, 178, 593, 0, 0, 0
Chile, 0, 96, 0, 108, 119
Ecuador, 0, 54, 0, 0, 0
Falkland Islands, 1, 2, 2, 2, 2
Paraguay, 0, 15, 0, 0, 0
Peru, 0, 76, 94, 94, 95
Surinam, 1, 1, 1, 2, 4
Uruguay, 58, 77, 79, 83, 85
Venezuela, 0, 0, 0, 66, 71
Ceylon, 2, 0, 0, 2, 0
Cyprus, 0, 3, 3, 3, 4
Fed. of Malaya, 6, 6, 13, 7, 0
India, 23, 27, 29, 29, 0
Indonesia, 12, 26, 25, 28, 31
Israel, 7, 8, 8, 8, 0
Japan, 90, 157, 186, 287, 297
Jordan, 0, 2, 2, 2, 2
"Korea,  Rep. of", 0, 13, 0, 0, 0
Laos, 0, 0, 0, 2, 2
Macau, 1, 2, 2, 2, 2
Neth. New Guinea, 0, 2, 2, 2, 2
North Borneo, 1, 1, 2, 1, 2
Pakistan, 4, 8, 0, 9, 9
Thailand, 1, 16, 17, 20, 0
Turkey, 2, 5, 5, 5, 5
"UAR,  Syria", 0, 2, 2, 2, 3
"Viet-Nam,  Rep. of", 0, 4, 4, 4, 4
Austria, 27, 90, 80, 83, 84
Belgium, 13, 12, 12, 12, 12
Czechoslovakia, 15, 0, 0, 0, 0
Denmark, 3, 13, 19, 19, 21
Finland, 13, 23, 27, 28, 32
France, 35, 42, 45, 50, 51
"Germany,  Fed. R.", 39, 262, 294, 308, 312
Greece, 1, 16, 18, 18, 18
Iceland, 1, 4, 0, 0, 0
Ireland, 4, 3, 3, 3, 3
Italy, 40, 178, 274, 390, 538
Luxembourg, 2, 4, 3, 3, 3
Monaco, 1, 3, 0, 3, 3
Netherlands, 9, 8, 8, 9, 9
Norway, 17, 29, 31, 34, 37
Portugal, 9, 51, 33, 34, 33
Spain, 0, 89, 165, 184, 0
Sweden, 33, 35, 35, 35, 37
Switzerland, 7, 10, 23, 27, 30
United Kingdom, 43, 54, 60, 62, 68
Vatican, 1, 1, 1, 2, 2
Yugoslavia, 0, 0, 0, 0, 0
Australia, 139, 160, 160, 163, 163
Fiji Islands, 1, 3, 4, 4, 4
Gilbert and Ellice Islands, 0, 2, 2, 2, 2
New Zealand, 31, 31, 32, 34, 34
Solomon Islands, 0, 1, 2, 1, 1
