Country, 1937, 1948, 1955, 1956, 1937
Angola, 0, 15, 16, 16, 16
Belgian Congo, 1, 7, 8, 8, 8
Cameroons [Fr.], 0, 1, 3, 2, 3
Cape Verde Islands, 0, 2, 3, 3, 3
Egypt [U.A.R.], 5, 0, 7, 13, 29
Ethiopia, 0, 0, 4, 4, 3
Fr. Eq. Africa, 0, 1, 2, 2, 2
Fr. West Africa, 0, 1, 5, 5, 6
"Kenya,  Uganda,  Tanganyika", 1, 3, 7, 7, 7
Morocco A, 1, 5, 16, 12, 12
B, 0, 0, 3, 3, 0
Mozambique, 1, 2, 4, 4, 4
Nigeria, 0, 1, 4, 4, 4
Reunion, 1, 1, 1, 1, 1
"Rhodesia,  Nyasaland,  Fed.", 0, 6, 0, 7, 8
Sierra Leone, 0, 0, 3, 3, 0
Union of South Africa, 7, 10, 11, 11, 11
"Zanzibar,  Pemba", 0, 0, 1, 2, 0
NORTH AMERICA, 0, 0, 0, 0, 0
Canada, 88, 161, 246, 249, 258
Costa Rica, 0, 0, 0, 38, 0
Cuba, 0, 0, 156, 160, 0
Dominican Republic, 24, 26, 30, 43, 0
Guadeloupe, 0, 2, 2, 2, 2
Haiti, 3, 8, 17, 0, 0
Jamaica, 0, 1, 0, 5, 7
Martinique, 2, 1, 1, 1, 1
Mexico, 101, 212, 227, 0, 0
Neth. Antilles (Neerl.), 1, 1, 5, 6, 6
Panama, 0, 0, 59, 0, 0
United States, 734, "3, 967", "3, 330", "3, 504", "3, 717"
Argentina, 40, 0, 0, 64, 78
Brazil, 50, 178, 593, 0, 0
Chile, 0, 0, 96, 0, 108
Ecuador, 0, 0, 54, 0, 0
Falkland Islands, 0, 1, 2, 2, 0
Paraguay, 0, 0, 15, 0, 0
Peru, 8, 0, 76, 0, 0
Uruguay, 0, 58, 77, 79, 0
Venezuela, 0, 0, 0, 0, 66
Ceylon, 1, 2, 0, 0, 2
Cyprus, 0, 0, 3, 3, 3
India, 11, 23, 27, 29, 29
Indonesia, 0, 12, 26, 25, 28
Israel, 0, 7, 8, 8, 8
Japan, 51, 90, 157, 186, 287
Jordan, 0, 0, 2, 2, 2
"Korea,  S.", 0, 0, 13, 0, 0
Laos, 0, 0, 0, 0, 2
Macau, 1, 1, 2, 2, 2
Malaya, 3, 6, 6, 13, 0
New Guinea [Neth.], 0, 0, 2, 2, 2
North Borneo, 0, 0, 1, 2, 1
Pakistan, 0, 4, 8, 0, 0
Syria [U.A.R.], 0, 0, 2, 2, 2
Thailand, 0, 1, 16, 17, 20
Turkey, 2, 2, 5, 5, 0
Viet-Nam, 5, 0, 4, 4, 4
Austria, 0, 27, 90, 80, 83
Belgium, 3, 13, 12, 12, 12
Czechoslovakia, 8, 15, 0, 0, 0
Denmark, 3, 3, 13, 19, 19
Finland, 11, 13, 23, 27, 28
France, 26, 35, 42, 45, 50
Germany, 30, 23, 262, 294, 308
Saar, 0, 0, 0, 0, 0
Greece, 1, 0, 16, 18, 18
Iceland, 1, 1, 4, 0, 0
Ireland, 3, 4, 3, 3, 3
Italy, 17, 40, 178, 274, 390
Luxembourg, 1, 2, 4, 3, 3
Monaco, 0, 0, 3, 0, 3
Netherlands, 6, 9, 8, 8, 9
Norway, 16, 17, 29, 31, 34
Portugal, 23, 9, 51, 33, 34
Spain, 0, 0, 89, 165, 184
Sweden, 31, 33, 35, 35, 35
Switzerland, 6, 8, 10, 23, 27
United Kingdom, 13, 43, 54, 60, 62
Vatican, 1, 1, 1, 1, 2
Yugoslavia, 4, 0, 0, 0, 0
Australia, 111, 141, 160, 160, 163
Fiji Islands, 0, 1, 3, 4, 4
Gilbert and Ellis Islands, 0, 0, 2, 2, 2
New Zealand, 26, 31, 31, 32, 34
Solomon Islands, 0, 0, 1, 2, 0
