Country, Code, 1948, 1962, 1963, 1964
Algeria, L, 157.0, "1, 200.0", "1, 500.0", 0
Angola, L, 0, 64.0, 68.0, 0
Basutoland, L, 20.4, 4.0, 5.0, 0
Bechuanaland, L, 30.3, 2.8, 3.0, 0
Cape Verde Is., L, 0, 2.8, 3.0, 0
Central African Republic, L, 0, 15.0, 20.0, 25.0
Chad, R, 0, 16.0, 20.0, 22.0
"Congo,  Democratic,  Rep,  of", L, 6.0, 175.0, 200.0, 0
Dahomey, L, 0, 35.0, 0, 0
Ethiopia, R, 13.0, 150.0, 0, 0
Fr. Somaliland, L, 20.2, 0, 0, 0
Gabon, L, 0, 25.0, 30.0, 35.0
Gambia, R, 0, 22.0, 30.0, 0
Ghana, L, 8.0, 403.0, 504.0, 555.0
Guinea, L, 0, 35.0, 40.0, 50.0
Kenya, L, 10.0, 61.0, 100.0, 0
Liberia, R, 22.0, 0, 100.0, 125.0
Libya, R, 0, 86.0, 0, 0
Madagascar, R, 0, 235.0, 285.0, 0
Mali, L, 0, 0, 10.0, 0
Mauritania, L, 0, 0, 30.0, 0
Mauritius, L, 5.0, 51.0, 57.0, 80.0
Morocco, L, 86.0, 575.0, 615.0, 650.0
Mozambique, L, 6.0, 0, 0, 100.0
Niger, L, 0, 15.0, 2.0, 0
Nigeria, L, 9.0, 0, 400.0, 600.0
Port. Guinea, L, 20.5, 2.0, 2.2, 4.3
Reunion, L, 22.0, 22.0, 25.0, 40.0
"Rhodesia (S),  Zambia,  Malawi", L, 230.0, 63.0, 719.0, 0
Sao Tome and Principe, L, 20.2, 0.9, 1.2, 0
Senegal, 0, 0, 0, 150.0, 200.0
Seychelles, R, 0.1, 0.8, 1.0, 1.5
Sierra Leone, L, 2.0, 9.2, 20.0, 25.0
Somalia, R, 23.3, 25.0, 26.0, 30.0
South Africa, L, 497.0, "1, 151.0", "1, 500.0", 0
Swaziland, L, 20.5, 0, 2.6, 3.2
"Tanzania,  United Rep. of A", L, 1.0, 28.0, 0, 0
B, L, 0, 8.0, 0, 0
Togo, L, 0, 0, 8.0, 8.0
Tunisia, L, 43.0, 0, 300.0, 306.0
Uganda, R, 21.0, 92.0, 100.0, 105.0
United Arab Republic, R, "1, 238.0", "1, 800.0", "1, 980.0", "2, 178.0"
Upper Volta, L, 0, 15.0, 0, 0
Antigua, L, 10.4, 0, 0, 0
Bahama Islands, R, 12.0, 0, 30.0, 40.0
Barbados, R, 4.0, 42.0, 0, 0
Bermuda, R, 5.0, 20.0, 21.0, 23.0
Br. Honduras, L, 1.0, 5.0, 6.0, 6.0
Canada, R, "1, 944.0", "9, 200.0", 0, "10, 000.0"
Costa Rica, R, 223.0, 0, 100.0, 123.0
Cuba, R, "2, 575.0", 0, 0, 0
Dominican Rep., R, 30.0, 123.0, 139.0, 0
El Salvador, R, 0, 358.0, 0, 395.0
Grenada, L, 20.8, 2.7, 2.7, 3.3
Guadeloupe, L, 21.0, 6.5, 6.4, 10.0
Guatemala, L, 127.0, 0, 0, 0
Haiti, R, 4.0, 50.0, 55.0, 60.0
Honduras, R, 20.0, 0, 0, 128.0
Jamaica, R, 223.0, 210.0, 0, 242.0
Martinique, L, 22.0, 17.0, 23.0, 23.0
Mexico, R, 700.0, "5, 830.0", "6, 506.0", "7, 281.0"
Montserrat, R, 0, 2.5, 3.0, 0
Neth. Antilles, R, 234.0, 75.0, 102.0, 0
Nicaragua, R, 0, 100.0, 0, 0
Panama, R, 181.0, 225.0, 0, 0
St. Lucia, L, 0.4, 0, 1.5, 0
Trinidad, L, 20.0, 47.0, 42.0, 0
United States, R, "74, 000.0", "184, 000.0", "192, 000.0", 0
Argentina, R, "22, 200.0", "5, 500.0", "5, 800.0", "6, 200.0"
Bolivia, R, "2, 150.0", 350.0, 360.0, 500.0
Brazil, R, "22, 500.0", "7, 000.0", "7, 200.0", "7, 500.0"
British Guiana, L, 6.0, 44.0, 40.0, 0
Chile, R, "1, 550.0", "1, 500.0", 0, 0
Colombia, R, "2, 500.0", "3, 000.0", 0, 0
Ecuador, R, 30.0, 320.0, 500.0, 510.0
Falkland Is., L, 0.6, 0.9, 0.6, 0.6
Fr. Guiana, L, 0, 1.0, 1.7, 2.0
Paraguay, R, 170.0, 160.0, 0, 0
Peru, R, "2, 500.0", 0, "2, 000.0", 0
Surinam, R, 15.0, 45.0, 0, 0
Uruguay, R, 300.0, 900.0, 0, 0
Venezuela, R, 150.0, 0, 0, "1, 651.0"
Aden, R, 11.1, 100.0, 100.0, 0
Afghanistan, R, 28.0, 25.0, 25.0, 35.0
Bahrain, R, 0, 46.0, 90.0, 0
Brunei, R, 0, 7.0, 8.0, 9.0
Burma, L, 8.0, 147.0, 203.0, 259.0
Ceylon, L, 23.0, 397.0, 406.0, 417.0
China (mainland), L, "21, 000.0", 0, "8, 000.0", 0
China (Taiwan), L, 214.0, "1, 011.0", "1, 114.0", 0
Cyprus, L, 8.0, 102.0, 112.0, 127.0
Hong Kong, L, 30.0, 189.0, 0, 0
India, L, 282.0, "3, 072.0", "3, 737.0", "4, 315.0"
Indonesia, R, "1, 125.0", 0, 0, 0
Iran, L, 102.0, "1, 400.0", "1, 600.0", 0
Iraq, L, 230.0, 100.0, "3, 550.0", "3, 700.0"
Israel, L, "1, 121.0", 539.0, "3, 595.0", 0
Japan, L, "7, 593.0", "18, 651.0", "19, 318.0", "19, 666.0"
Jordan, L, 23.0, 63.0, 0, 0
"Korea,  Rep. of", R, 88.0, "1, 303.0", "1, 661.0", "1, 729.0"
Kuwait, R, 0, 90.0, 0, 0
Laos, L, 0.1, 22.0, 0, 50.0
Lebanon, L, 31.0, 0, 250.0, 275.0
Macau, L, 25.0, 5.5, 5.6, 0
Malaya, L, 22.0, 338.0, 353.0, 352.0
Sabah, L, 21.0, 0, 0, 0
Sarawak , L, 10.8, 49.0, 0, 0
Pakistan, L, 362.0, 396.0, 459.0, 549.0
Philippines, L, 179.0, "1, 200.0", "1, 220.0", "1, 225.0"
Port. Timor, L, 0, 1.0, 1.1, 1.3
Singapore, L, 41.0, 0, 440.0, 389.0
Turkey, L, 241.0, "1, 707.0", "1, 902.0", "2, 177.0"
"Viet-Nam,  Rep. of", R, 12.0, 0, 800.0, "1, 000.0"
Albania, L, 9.0, 66.0, 69.0, 0
Andorra, R, 0, 3.0, 4.0, 4.2
Austria, L, "1, 106.0", "2, 079.0", "2, 110.0", "2, 134.0"
Belgium, L, "1, 058.0", "1, 020, 896.0", "103, 049.0", "103, 080.0"
Bulgaria, L, 210.0, "1, 733.0", "1, 843.0", "1, 959.0"
Czechoslovakia, L, "2, 108.0", "3, 664.0", "3, 684.0", "3, 696.0"
Denmark, L, "1, 057.0", "101, 674.0", "1, 631.0", "1, 619.0"
Finland, L, 630.0, "1, 330.0", "1, 397.0", "1, 456.0"
France, L, "6, 104.0", "13, 776.0", "14, 551.0", "14, 981.0"
"Germany,  East.", L, "2, 817.0", "105, 670.0", "5, 739.0", "105, 759.0"
"Germany,  Fed. Rep. of", L, "57, 299.0", "16, 696.0", "17, 099.0", "17, 494.0"
Gibraltar, L, 2.0, 4.6, 4.0, 3.7
Greece, L, 30.0, 740.0, 800.0, 832.0
Hungary, L, 475.0, "2, 390.0", "2, 452.0", "2, 484.0"
Iceland, L, 135.0, 51.0, 51.0, 51.0
Ireland, L, 261.0, "10, 516.0", 538.0, "10, 552.0"
Italy, L, "2, 205.0", "109, 193.0", "109, 564.0", "10, 370.0"
Luxembourg, L, 49.0, 103.0, 107.0, 115.0
Malta, L, 31.0, 107.0, "10, 735.0", "1, 075.0"
Monaco, R, 23.0, 6.0, 6.2, 6.3
Netherlands, L, "1, 615.0", "3, 072.0", "3, 097.0", "3, 130.0"
Norway, L, 654.0, "1, 052.0", "1, 060.0", "1, 071.0"
Poland, L, 891.0, "5, 620.0", "5, 701.0", 5/oo
Portugal, L, 179.0, "1, 005.0", "1, 068.0", "1, 127.0"
Romania, L, 258.0, "2, 372.0", "2, 549.0", "2, 684.0"
San Marino, L, 11.0, 0, 2.7, 2.9
Spain, R, 657.0, "3, 491.0", "4, 000.0", "4, 000.0"
Sweden, L, "2, 025.0", "2, 938.0", "2, 950.0", "2, 947.0"
Switzerland, L, 866.0, "1, 539.0", "1, 590.0", "1, 626.0"
United Kingdom, L, "11, 460.0", "15, 580.0", "15, 882.0", "16, 015.0"
Yugoslavia, L, 252.0, "2, 080.0", "2, 280.0", "2, 515.0"
Australia, L, "1, 986.0", "2, 219.0", "2, 238.0", "2, 300.0"
Br. Solomon Is., L, 0.1, 0.9, 1.0, 1.6
Fiji Is., L, 2.0, 30.0, 30.0, 30.0
Fr. Polynesia, R, 0, 20.0, 0, 0
Gilbert and Ellice Islands, L, 20.0, 0.5, 0.8, 1.0
New Caledonia, R, 22.0, 11.0, 12.0, 0
New Hebrides, L, 0.2, 0, 0, 0
New Zealand, L, 426.0, 614.0, 616.0, 641.0
Norfolk Is., R, 20.1, 0.4, 0.4, 0.5
Tonga, R, 10.1, 0, 2.5, 0
Western Samoa, L, 20.5, 5.8, 12.0, 0
USSR, L, "211, 452.0", "65, 900.0", "68, 900.0", "72, 300.0"
